2020-03-01,,Clark County,4d4b7105d754a06378d81259,Shops & Services,103.0,103.0,103.0,1
2020-03-01,,Clark County,4d4b7105d754a06374d81259,Food,102.0,97.0,102.0,2
2020-03-01,,Clark County,4d4b7104d754a06370d81259,Arts & Entertainment,95.0,91.0,95.0,3
2020-03-01,,Clark County,4bf58dd8d48988d17c941735,Casinos,97.0,96.0,97.0,4
2020-03-01,,Clark County,4d4b7105d754a06379d81259,Travel & Transport,92.0,91.0,92.0,5
2020-03-01,,Clark County,4d4b7105d754a06375d81259,Professional & Other Places,95.0,96.0,95.0,6
2020-03-01,,Clark County,4bf58dd8d48988d1fa931735,Hotels,94.0,89.0,94.0,7
2020-03-01,,Clark County,4d4b7105d754a06376d81259,Nightlife Spots,98.0,99.0,98.0,8
2020-03-01,,Clark County,4d4b7105d754a06377d81259,Outdoors & Recreation,96.0,85.0,96.0,9
2020-03-01,,Clark County,4bf58dd8d48988d1ed931735,Airports,96.0,101.0,96.0,10
2020-03-01,,Clark County,4bf58dd8d48988d116941735,Bars,98.0,100.0,98.0,11
2020-03-01,,Clark County,4bf58dd8d48988d1f9941735,Food & Drink Shops,96.0,102.0,96.0,12
2020-03-01,,Clark County,4bf58dd8d48988d118951735,Grocery Stores,99.0,104.0,99.0,13
2020-03-01,,Clark County,4bf58dd8d48988d1fd941735,Shopping Malls,102.0,101.0,102.0,14
2020-03-01,,Clark County,4bf58dd8d48988d16e941735,Fast Food Restaurants,107.0,102.0,107.0,15
2020-03-01,,Clark County,4bf58dd8d48988d1eb931735,Airport Terminals,95.0,102.0,95.0,16
2020-03-01,,Clark County,4bf58dd8d48988d12f951735,Resorts,94.0,89.0,94.0,17
2020-03-01,,Clark County,4bf58dd8d48988d113951735,Gas Stations,109.0,109.0,109.0,18
2020-03-01,,Clark County,4bf58dd8d48988d142941735,Asian Restaurants,97.0,93.0,98.0,19
2020-03-01,,Clark County,4d954b0ea243a5684a65b473,Convenience Stores,111.0,110.0,111.0,20
2020-03-01,,Clark County,52f2ab2ebcbc57f1066b8b42,Big Box Stores,105.0,98.0,105.0,21
2020-03-01,,Clark County,4bf58dd8d48988d14e941735,American Restaurants,100.0,98.0,101.0,22
2020-03-01,,Clark County,4e67e38e036454776db1fb3a,Residences,100.0,86.0,101.0,23
2020-03-01,,Clark County,4f4528bc4b90abdf24c9de85,Athletics & Sports,100.0,89.0,100.0,24
2020-03-01,,Clark County,4bf58dd8d48988d1e0931735,Coffee Shops,107.0,126.0,106.0,25
2020-03-01,,Clark County,4c38df4de52ce0d596b336e1,Parking,98.0,99.0,98.0,26
2020-03-01,,Clark County,4bf58dd8d48988d1c1941735,Mexican Restaurants,101.0,105.0,101.0,27
2020-03-01,,Clark County,4bf58dd8d48988d103951735,Clothing Stores,103.0,116.0,103.0,28
2020-03-01,,Clark County,4bf58dd8d48988d1f1931735,General Entertainment,100.0,92.0,101.0,29
2020-03-01,,Clark County,4bf58dd8d48988d131941735,Spiritual Centers,101.0,97.0,102.0,30
2020-03-01,,Clark County,4bf58dd8d48988d104941735,Medical Centers,104.0,106.0,104.0,31
2020-03-01,,Clark County,4bf58dd8d48988d10f951735,Pharmacies,105.0,111.0,104.0,32
2020-03-01,,Clark County,4d954b06a243a5684965b473,Residential Buildings (Apartments / Condos),96.0,70.0,97.0,33
2020-03-01,,Clark County,4bf58dd8d48988d163941735,Parks,87.0,77.0,87.0,34
2020-03-01,,Clark County,4bf58dd8d48988d1ca941735,Pizza Places,103.0,112.0,103.0,35
2020-03-01,,Clark County,4bf58dd8d48988d175941735,Gyms or Fitness Centers,100.0,99.0,100.0,36
2020-03-01,,Clark County,4bf58dd8d48988d13b941735,Schools,95.0,89.0,95.0,37
2020-03-01,,Clark County,5744ccdfe4b0c0459246b4dc,Shopping Plazas,107.0,98.0,107.0,38
2020-03-01,,Clark County,52e81612bcbc57f1066b79f4,Buffets,107.0,83.0,108.0,39
2020-03-01,,Clark County,52e816a6bcbc57f1066b7a54,Warehouse Stores,121.0,126.0,121.0,40
2020-03-01,,Clark County,4bf58dd8d48988d16c941735,Burger Joints,92.0,93.0,92.0,41
2020-03-01,,Clark County,4bf58dd8d48988d110941735,Italian Restaurants,98.0,89.0,98.0,42
2020-03-01,,Clark County,4bf58dd8d48988d121941735,Lounges,96.0,85.0,97.0,43
2020-03-01,,Clark County,4bf58dd8d48988d112951735,Hardware Stores,120.0,118.0,120.0,44
2020-03-01,,Clark County,4bf58dd8d48988d16d941735,Cafés,102.0,82.0,103.0,45
2020-03-01,,Clark County,4bf58dd8d48988d145941735,Chinese Restaurants,101.0,96.0,101.0,46
2020-03-01,,Clark County,52dea92d3cf9994f4e043dbb,Discount Stores,96.0,81.0,97.0,47
2020-03-01,,Clark County,4bf58dd8d48988d1cc941735,Steakhouses,109.0,83.0,110.0,48
2020-03-01,,Clark County,4f2a210c4b9023bd5841ed28,Housing Developments,106.0,105.0,106.0,49
2020-03-01,,Clark County,4bf58dd8d48988d1ff931735,Convention Centers,64.0,99.0,64.0,50
2020-03-01,,Clark County,4bf58dd8d48988d111941735,Japanese Restaurants,92.0,82.0,92.0,51
2020-03-01,,Clark County,4bf58dd8d48988d1f2931735,Performing Arts Venues,98.0,80.0,99.0,52
2020-03-01,,Clark County,4bf58dd8d48988d124951735,Automotive Shops,105.0,82.0,106.0,53
2020-03-01,,Clark County,4bf58dd8d48988d124941735,Offices,94.0,84.0,94.0,54
2020-03-01,,Clark County,4bf58dd8d48988d147941735,Diners,114.0,98.0,115.0,54
