2020-03-01,,Rockingham County,Shops & Services,101.0,95.0,102.0,1
2020-03-01,,Rockingham County,Food,102.0,117.0,101.0,2
2020-03-01,,Rockingham County,Outdoors & Recreation,90.0,91.0,90.0,3
2020-03-01,,Rockingham County,Grocery,101.0,95.0,101.0,4
2020-03-01,,Rockingham County,Nightlife Spots,97.0,75.0,97.0,5
2020-03-01,,Rockingham County,Professional & Other Places,91.0,109.0,90.0,6
2020-03-01,,Rockingham County,Arts & Entertainment,98.0,88.0,99.0,7
2020-03-01,,Rockingham County,Big Box Stores,98.0,99.0,98.0,8
2020-03-01,,Rockingham County,Sports,90.0,97.0,90.0,9
2020-03-01,,Rockingham County,Travel & Transport,91.0,89.0,91.0,10
2020-03-01,,Rockingham County,Gas Stations,93.0,"",93.0,11
2020-03-01,,Rockingham County,Hardware Stores,107.0,119.0,107.0,12
2020-03-01,,Rockingham County,Medical,111.0,182.0,107.0,13
2020-03-01,,Rockingham County,Fitness Center,96.0,114.0,95.0,14
2020-03-01,,Rockingham County,Residences,95.0,"",94.0,15
2020-03-01,,Rockingham County,School,98.0,"",99.0,15
2020-03-01,,Rockingham County,Fast Food Restaurants,91.0,"",91.0,16
2020-03-01,,Rockingham County,Drug Store,90.0,"",91.0,17
2020-03-01,,Rockingham County,Convenience Store,103.0,"",103.0,18
2020-03-01,,Rockingham County,Hotel,96.0,"",96.0,19
2020-03-01,,Rockingham County,Spiritual Center,89.0,"",88.0,20
2020-03-01,,Rockingham County,Beach,79.0,"",79.0,21
2020-03-01,,Rockingham County,Government,99.0,"",99.0,22
2020-03-01,,Sullivan County,Shops & Services,102.0,88.0,103.0,1
2020-03-01,,Sullivan County,Food,96.0,85.0,97.0,2
2020-03-01,,Sullivan County,Outdoors & Recreation,73.0,"",74.0,3
2020-03-01,,Sullivan County,Nightlife Spots,90.0,"",97.0,4
2020-03-01,,Belknap County,Shops & Services,91.0,84.0,92.0,1
2020-03-01,,Belknap County,Food,81.0,77.0,81.0,2
2020-03-01,,Belknap County,Outdoors & Recreation,65.0,75.0,65.0,3
2020-03-01,,Belknap County,Professional & Other Places,87.0,93.0,86.0,4
2020-03-01,,Belknap County,Grocery,86.0,"",87.0,5
2020-03-01,,Belknap County,Nightlife Spots,80.0,"",80.0,6
2020-03-01,,Belknap County,Arts & Entertainment,97.0,"",98.0,7
2020-03-01,,Cheshire County,Shops & Services,102.0,90.0,103.0,1
2020-03-01,,Cheshire County,Food,101.0,73.0,102.0,2
2020-03-01,,Cheshire County,Outdoors & Recreation,93.0,"",94.0,3
2020-03-01,,Cheshire County,Nightlife Spots,95.0,"",95.0,4
2020-03-01,,Cheshire County,Grocery,87.0,"",87.0,5
2020-03-01,,Cheshire County,Big Box Stores,120.0,"",121.0,6
2020-03-01,,Cheshire County,Professional & Other Places,100.0,"",102.0,7
2020-03-01,,Cheshire County,Colleges & Universities,115.0,"",116.0,8
2020-03-01,,Merrimack County,Shops & Services,102.0,90.0,103.0,1
2020-03-01,,Merrimack County,Food,112.0,117.0,112.0,2
2020-03-01,,Merrimack County,Outdoors & Recreation,85.0,90.0,85.0,3
2020-03-01,,Merrimack County,Professional & Other Places,105.0,97.0,106.0,4
2020-03-01,,Merrimack County,Grocery,92.0,87.0,92.0,5
2020-03-01,,Merrimack County,Nightlife Spots,85.0,"",86.0,6
2020-03-01,,Merrimack County,Travel & Transport,78.0,"",78.0,7
2020-03-01,,Merrimack County,Big Box Stores,105.0,"",105.0,8
2020-03-01,,Merrimack County,Arts & Entertainment,87.0,"",86.0,9
2020-03-01,,Merrimack County,Colleges & Universities,162.0,"",162.0,10
2020-03-01,,Merrimack County,Gas Stations,101.0,"",101.0,11
2020-03-01,,Merrimack County,Convenience Store,98.0,"",98.0,12
2020-03-01,,Merrimack County,Fast Food Restaurants,110.0,"",110.0,13
2020-03-01,,Merrimack County,Sports,82.0,"",82.0,14
2020-03-01,,Merrimack County,School,95.0,"",95.0,15
2020-03-01,,Grafton County,Food,104.0,106.0,104.0,1
2020-03-01,,Grafton County,Shops & Services,98.0,96.0,99.0,2
2020-03-01,,Grafton County,Outdoors & Recreation,86.0,62.0,87.0,3
2020-03-01,,Grafton County,Skiing,104.0,65.0,105.0,4
2020-03-01,,Grafton County,Hotel,90.0,106.0,89.0,5
2020-03-01,,Grafton County,Colleges & Universities,89.0,"",88.0,6
2020-03-01,,Grafton County,Nightlife Spots,97.0,"",97.0,7
2020-03-01,,Grafton County,Travel & Transport,86.0,"",85.0,8
2020-03-01,,Grafton County,Professional & Other Places,81.0,"",81.0,9
2020-03-01,,Grafton County,Grocery,104.0,104.0,104.0,10
2020-03-01,,Grafton County,Medical,91.0,"",91.0,11
2020-03-01,,Grafton County,Gas Stations,99.0,"",100.0,12
2020-03-01,,Grafton County,Arts & Entertainment,126.0,"",123.0,13
2020-03-01,,Grafton County,Big Box Stores,116.0,"",117.0,14
2020-03-01,,Strafford County,Shops & Services,103.0,97.0,103.0,1
2020-03-01,,Strafford County,Food,106.0,90.0,107.0,2
2020-03-01,,Strafford County,Professional & Other Places,103.0,89.0,104.0,3
2020-03-01,,Strafford County,Outdoors & Recreation,91.0,87.0,91.0,4
2020-03-01,,Strafford County,Grocery,94.0,99.0,94.0,5
2020-03-01,,Strafford County,Nightlife Spots,84.0,"",84.0,6
2020-03-01,,Strafford County,Colleges & Universities,131.0,"",132.0,7
2020-03-01,,Strafford County,Big Box Stores,111.0,"",111.0,8
2020-03-01,,Strafford County,Arts & Entertainment,126.0,"",125.0,9
