2020-03-21,Imperial County,52f2ab2ebcbc57f1066b8b42,Big Box Stores,57,2
2020-03-21,Imperial County,4bf58dd8d48988d16e941735,Fast Food Restaurants,44,2
2020-03-21,Imperial County,4bf58dd8d48988d118951735,Grocery Stores,98,3
2020-03-21,Imperial County,4d954b0ea243a5684a65b473,Convenience Stores,79,4
2020-03-21,Kern County,4bf58dd8d48988d118951735,Grocery Stores,84,1
2020-03-21,Kern County,4bf58dd8d48988d113951735,Gas Stations,63,2
2020-03-21,Kern County,4bf58dd8d48988d16e941735,Fast Food Restaurants,57,3
2020-03-21,Kern County,52f2ab2ebcbc57f1066b8b42,Big Box Stores,67,4
2020-03-21,Kern County,4bf58dd8d48988d1c1941735,Mexican Restaurants,48,5
2020-03-21,Kern County,4bf58dd8d48988d10f951735,Pharmacies,85,6
2020-03-21,Kern County,4bf58dd8d48988d112951735,Hardware Stores,81,7
2020-03-21,Kern County,4bf58dd8d48988d163941735,Parks,64,8
2020-03-21,Kern County,4bf58dd8d48988d1ca941735,Pizza Places,60,9
2020-03-21,Kern County,4d954b0ea243a5684a65b473,Convenience Stores,49,10
2020-03-21,Kern County,52dea92d3cf9994f4e043dbb,Discount Stores,62,11
2020-03-21,Kern County,52f2ab2ebcbc57f1066b8b46,Supermarkets,68,12
2020-03-21,Kern County,4bf58dd8d48988d124951735,Automotive Shops,63,13
2020-03-21,Kern County,4f4533804b9074f6e4fb0105,Elementary Schools,59,14
2020-03-21,Kern County,4bf58dd8d48988d1e0931735,Coffee Shops,51,15
2020-03-21,Kern County,4bf58dd8d48988d132941735,Churches,45,16
2020-03-21,Kern County,4bf58dd8d48988d130941735,Buildings,82,17
2020-03-21,Kern County,4bf58dd8d48988d13d941735,High Schools,43,18
2020-03-21,Kern County,52e816a6bcbc57f1066b7a54,Warehouse Stores,67,18
2020-03-21,Kern County,4bf58dd8d48988d14e941735,American Restaurants,37,19
2020-03-21,Kern County,4bf58dd8d48988d1fa931735,Hotels,38,20
2020-03-21,Kings County,4bf58dd8d48988d113951735,Gas Stations,66,1
2020-03-21,Kings County,4bf58dd8d48988d118951735,Grocery Stores,81,2
2020-03-21,Kings County,4bf58dd8d48988d16e941735,Fast Food Restaurants,53,3
2020-03-21,Los Angeles County,4bf58dd8d48988d118951735,Grocery Stores,78,1
2020-03-21,Los Angeles County,4bf58dd8d48988d16e941735,Fast Food Restaurants,51,2
2020-03-21,Los Angeles County,4bf58dd8d48988d113951735,Gas Stations,50,3
2020-03-21,Los Angeles County,4bf58dd8d48988d163941735,Parks,61,4
2020-03-21,Los Angeles County,52f2ab2ebcbc57f1066b8b42,Big Box Stores,69,5
2020-03-21,Los Angeles County,52f2ab2ebcbc57f1066b8b46,Supermarkets,69,6
2020-03-21,Los Angeles County,4bf58dd8d48988d10f951735,Pharmacies,75,7
2020-03-21,Los Angeles County,4bf58dd8d48988d1fd941735,Shopping Malls,26,8
2020-03-21,Los Angeles County,4bf58dd8d48988d1e0931735,Coffee Shops,39,9
2020-03-21,Los Angeles County,4bf58dd8d48988d1c1941735,Mexican Restaurants,41,10
2020-03-21,Los Angeles County,4d954b0ea243a5684a65b473,Convenience Stores,54,11
2020-03-21,Los Angeles County,4bf58dd8d48988d112951735,Hardware Stores,76,12
2020-03-21,Los Angeles County,4bf58dd8d48988d124951735,Automotive Shops,58,13
2020-03-21,Los Angeles County,4bf58dd8d48988d159941735,Trails,102,14
2020-03-21,Los Angeles County,4d954b06a243a5684965b473,Residential Buildings (Apartments / Condos),50,15
