2020-03-21,Nevada County,Food,35,3
2020-03-21,Nevada County,Grocery,73,4
2020-03-21,Orange County,Food,35,1
2020-03-21,Orange County,Shops & Services,34,2
2020-03-21,Orange County,Outdoors & Recreation,72,3
2020-03-21,Orange County,Grocery,78,4
2020-03-21,Orange County,Fast Food Restaurants,51,5
2020-03-21,Orange County,Big Box Stores,70,6
2020-03-21,Orange County,Gas Stations,51,7
2020-03-21,Orange County,Professional & Other Places,32,8
2020-03-21,Orange County,Residences,61,9
2020-03-21,Orange County,Beach,96,10
2020-03-21,Placer County,Shops & Services,35,1
2020-03-21,Placer County,Food,31,2
2020-03-21,Placer County,Grocery,86,3
2020-03-21,Placer County,Outdoors & Recreation,66,4
2020-03-21,Placer County,Big Box Stores,67,5
2020-03-21,Placer County,Fast Food Restaurants,57,6
2020-03-21,Placer County,Gas Stations,64,7
2020-03-21,Placer County,Professional & Other Places,61,8
2020-03-21,Placer County,School,66,9
2020-03-21,Placer County,Hardware Stores,74,10
2020-03-21,Riverside County,Food,35,1
2020-03-21,Riverside County,Shops & Services,36,2
2020-03-21,Riverside County,Grocery,79,3
2020-03-21,Riverside County,Outdoors & Recreation,53,4
2020-03-21,Riverside County,Fast Food Restaurants,51,5
2020-03-21,Riverside County,Big Box Stores,71,6
2020-03-21,Riverside County,Gas Stations,56,7
2020-03-21,Riverside County,Professional & Other Places,48,8
2020-03-21,Riverside County,Hardware Stores,85,9
2020-03-21,Riverside County,School,49,10
2020-03-21,Sacramento County,Shops & Services,40,1
2020-03-21,Sacramento County,Food,40,2
2020-03-21,Sacramento County,Grocery,79,3
2020-03-21,Sacramento County,Outdoors & Recreation,72,4
2020-03-21,Sacramento County,Big Box Stores,76,5
2020-03-21,Sacramento County,Fast Food Restaurants,49,6
2020-03-21,Sacramento County,Gas Stations,60,7
2020-03-21,Sacramento County,Professional & Other Places,47,8
2020-03-21,Sacramento County,School,60,9
2020-03-21,Sacramento County,Hardware Stores,81,10
2020-03-21,San Bernardino County,Food,39,1
2020-03-21,San Bernardino County,Shops & Services,38,2
2020-03-21,San Bernardino County,Grocery,84,3
2020-03-21,San Bernardino County,Outdoors & Recreation,63,4
2020-03-21,San Bernardino County,Fast Food Restaurants,50,5
2020-03-21,San Bernardino County,Professional & Other Places,70,6
2020-03-21,San Bernardino County,Gas Stations,60,7
2020-03-21,San Bernardino County,Big Box Stores,73,8
2020-03-21,San Bernardino County,School,50,9
2020-03-21,San Bernardino County,Hardware Stores,83,10
2020-03-21,San Diego County,Shops & Services,40,1
2020-03-21,San Diego County,Food,36,2
2020-03-21,San Diego County,Outdoors & Recreation,65,3
2020-03-21,San Diego County,Grocery,79,4
2020-03-21,San Diego County,Professional & Other Places,48,5
2020-03-21,San Diego County,Big Box Stores,73,6
2020-03-21,San Diego County,Residences,65,7
2020-03-21,San Diego County,Gas Stations,55,8
2020-03-21,San Diego County,Fast Food Restaurants,49,9
2020-03-21,San Diego County,Convenience Store,60,10
2020-03-21,San Francisco County,Outdoors & Recreation,59,1
2020-03-21,San Francisco County,Food,20,2
2020-03-21,San Francisco County,Shops & Services,21,3
2020-03-21,San Francisco County,Grocery,70,4
2020-03-21,San Francisco County,Arts & Entertainment,17,5
2020-03-21,San Francisco County,Residences,48,6
2020-03-21,San Francisco County,Professional & Other Places,23,7
2020-03-21,San Francisco County,Nightlife Spots,11,8
2020-03-21,San Francisco County,Medical,47,9
2020-03-21,San Francisco County,Travel & Transport,19,10
2020-03-21,San Joaquin County,Food,45,1
2020-03-21,San Joaquin County,Shops & Services,43,2
2020-03-21,San Joaquin County,Grocery,88,3
2020-03-21,San Joaquin County,Outdoors & Recreation,65,4
2020-03-21,San Joaquin County,Professional & Other Places,59,5
2020-03-21,San Joaquin County,Big Box Stores,72,6
2020-03-21,San Joaquin County,Fast Food Restaurants,50,7
2020-03-21,San Joaquin County,Gas Stations,56,8
2020-03-21,San Joaquin County,Hardware Stores,95,9
2020-03-21,San Joaquin County,School,53,10
2020-03-21,San Luis Obispo County,Food,30,1
2020-03-21,San Luis Obispo County,Outdoors & Recreation,49,2
2020-03-21,San Luis Obispo County,Grocery,62,3
2020-03-21,San Luis Obispo County,Shops & Services,32,4
2020-03-21,San Luis Obispo County,Hotel,27,5
2020-03-21,San Luis Obispo County,Professional & Other Places,29,6
2020-03-21,San Luis Obispo County,Beach,59,7
2020-03-21,San Luis Obispo County,Gas Stations,46,8
2020-03-21,San Mateo County,Shops & Services,37,1
2020-03-21,San Mateo County,Outdoors & Recreation,83,2
2020-03-21,San Mateo County,Airport,25,3
2020-03-21,San Mateo County,Food,29,4
2020-03-21,San Mateo County,Grocery,71,5
2020-03-21,San Mateo County,Professional & Other Places,36,6
2020-03-21,San Mateo County,Gas Stations,45,7
2020-03-21,San Mateo County,Fast Food Restaurants,53,8
2020-03-21,San Mateo County,Beach,130,9
2020-03-21,San Mateo County,Residences,60,10
2020-03-21,Santa Barbara County,Food,32,1
2020-03-21,Santa Barbara County,Outdoors & Recreation,68,2
2020-03-21,Santa Barbara County,Grocery,68,3
2020-03-21,Santa Barbara County,Shops & Services,31,4
2020-03-21,Santa Barbara County,Professional & Other Places,40,5
2020-03-21,Santa Barbara County,Gas Stations,54,6
2020-03-21,Santa Barbara County,Beach,66,7
2020-03-21,Santa Barbara County,Hotel,27,8
2020-03-21,Santa Barbara County,Fast Food Restaurants,44,9
2020-03-21,Santa Clara County,Food,26,1
2020-03-21,Santa Clara County,Shops & Services,26,2
2020-03-21,Santa Clara County,Outdoors & Recreation,55,3
2020-03-21,Santa Clara County,Grocery,67,4
2020-03-21,Santa Clara County,Residences,55,5
2020-03-21,Santa Clara County,Big Box Stores,60,6
2020-03-21,Santa Clara County,Professional & Other Places,33,7
2020-03-21,Santa Clara County,Fast Food Restaurants,44,8
2020-03-21,Santa Clara County,Gas Stations,40,9
2020-03-21,Santa Clara County,School,41,10
2020-03-21,Santa Cruz County,Outdoors & Recreation,57,1
2020-03-21,Santa Cruz County,Food,27,2
2020-03-21,Santa Cruz County,Shops & Services,39,3
2020-03-21,Santa Cruz County,Grocery,68,4
2020-03-21,Santa Cruz County,Beach,49,5
2020-03-21,Shasta County,Food,48,1
2020-03-21,Shasta County,Grocery,104,2
2020-03-21,Shasta County,Outdoors & Recreation,93,3
2020-03-21,Shasta County,Shops & Services,49,4
2020-03-21,Shasta County,Gas Stations,78,5
2020-03-21,Shasta County,Fast Food Restaurants,94,6
2020-03-21,Shasta County,Big Box Stores,88,7
2020-03-21,Solano County,Food,49,1
2020-03-21,Solano County,Shops & Services,34,2
2020-03-21,Solano County,Grocery,85,3
2020-03-21,Solano County,Outdoors & Recreation,73,4
2020-03-21,Solano County,Fast Food Restaurants,50,5
2020-03-21,Solano County,Big Box Stores,76,6
2020-03-21,Solano County,Gas Stations,47,7
2020-03-21,Solano County,Professional & Other Places,50,8
2020-03-21,Solano County,Medical,62,9
2020-03-21,Solano County,School,58,10
2020-03-21,Sonoma County,Outdoors & Recreation,71,1
2020-03-21,Sonoma County,Food,33,2
2020-03-21,Sonoma County,Shops & Services,40,3
2020-03-21,Sonoma County,Grocery,69,4
2020-03-21,Sonoma County,Professional & Other Places,30,5
2020-03-21,Sonoma County,Gas Stations,59,6
2020-03-21,Sonoma County,Fast Food Restaurants,50,7
2020-03-21,Sonoma County,Hardware Stores,69,8
2020-03-21,Sonoma County,Big Box Stores,57,9
2020-03-21,Stanislaus County,Food,47,1
2020-03-21,Stanislaus County,Shops & Services,41,2
2020-03-21,Stanislaus County,Grocery,97,3
2020-03-21,Stanislaus County,Outdoors & Recreation,70,4
2020-03-21,Stanislaus County,Fast Food Restaurants,50,5
2020-03-21,Stanislaus County,Big Box Stores,65,6
2020-03-21,Stanislaus County,Gas Stations,68,7
2020-03-21,Stanislaus County,School,66,8
2020-03-21,Stanislaus County,Professional & Other Places,63,9
2020-03-21,Stanislaus County,Medical,68,10
2020-03-21,Sutter County,Food,54,1
2020-03-21,Sutter County,Shops & Services,44,2
2020-03-21,Sutter County,Outdoors & Recreation,101,3
2020-03-21,Tulare County,Food,50,1
2020-03-21,Tulare County,Grocery,96,2
2020-03-21,Tulare County,Gas Stations,75,3
2020-03-21,Tulare County,Shops & Services,39,4
2020-03-21,Tulare County,Outdoors & Recreation,65,5
2020-03-21,Tulare County,Fast Food Restaurants,59,6
