categoryId,categoryName,isEssential
52e81612bcbc57f1066b7a03,Cambodian Restaurant,true
4bf58dd8d48988d145941735,Chinese Restaurant,true
52af3a5e3cf9994f4e043bea,Anhui Restaurant,true
52af3a723cf9994f4e043bec,Beijing Restaurant,true
52af3a7c3cf9994f4e043bed,Cantonese Restaurant,true
58daa1558bbb0b01f18ec1d3,Cha Chaan Teng,true
52af3a673cf9994f4e043beb,Chinese Aristocrat Restaurant,true
52af3a903cf9994f4e043bee,Chinese Breakfast Place,true
4bf58dd8d48988d1f5931735,Dim Sum Restaurant,true
52af3a9f3cf9994f4e043bef,Dongbei Restaurant,true
52af3aaa3cf9994f4e043bf0,Fujian Restaurant,true
52af3ab53cf9994f4e043bf1,Guizhou Restaurant,true
52af3abe3cf9994f4e043bf2,Hainan Restaurant,true
52af3ac83cf9994f4e043bf3,Hakka Restaurant,true
52af3ad23cf9994f4e043bf4,Henan Restaurant,true
52af3add3cf9994f4e043bf5,Hong Kong Restaurant,true
52af3af23cf9994f4e043bf7,Huaiyang Restaurant,true
52af3ae63cf9994f4e043bf6,Hubei Restaurant,true
52af3afc3cf9994f4e043bf8,Hunan Restaurant,true
52af3b053cf9994f4e043bf9,Imperial Restaurant,true
52af3b213cf9994f4e043bfa,Jiangsu Restaurant,true
52af3b293cf9994f4e043bfb,Jiangxi Restaurant,true
52af3b343cf9994f4e043bfc,Macanese Restaurant,true
52af3b3b3cf9994f4e043bfd,Manchu Restaurant,true
52af3b463cf9994f4e043bfe,Peking Duck Restaurant,true
52af3b633cf9994f4e043c01,Shaanxi Restaurant,true
52af3b513cf9994f4e043bff,Shandong Restaurant,true
52af3b593cf9994f4e043c00,Shanghai Restaurant,true
52af3b6e3cf9994f4e043c02,Shanxi Restaurant,true
52af3b773cf9994f4e043c03,Szechuan Restaurant,true
52af3b813cf9994f4e043c04,Taiwanese Restaurant,true
52af3b893cf9994f4e043c05,Tianjin Restaurant,true
52af3b913cf9994f4e043c06,Xinjiang Restaurant,true
52af3b9a3cf9994f4e043c07,Yunnan Restaurant,true
52af3ba23cf9994f4e043c08,Zhejiang Restaurant,true
4eb1bd1c3b7b55596b4a748f,Filipino Restaurant,true
52e81612bcbc57f1066b79fb,Himalayan Restaurant,true
52af0bd33cf9994f4e043bdd,Hotpot Restaurant,true
4deefc054765f83613cdba6f,Indonesian Restaurant,true
52960eda3cf9994f4e043ac9,Acehnese Restaurant,true
52960eda3cf9994f4e043acb,Balinese Restaurant,true
52960eda3cf9994f4e043aca,Betawinese Restaurant,true
52960eda3cf9994f4e043acc,Indonesian Meatball Place,true
52960eda3cf9994f4e043ac7,Javanese Restaurant,true
52960eda3cf9994f4e043ac8,Manadonese Restaurant,true
52960eda3cf9994f4e043ac5,Padangnese Restaurant,true
52960eda3cf9994f4e043ac6,Sundanese Restaurant,true
4bf58dd8d48988d111941735,Japanese Restaurant,true
55a59bace4b013909087cb0c,Donburi Restaurant,true
55a59bace4b013909087cb30,Japanese Curry Restaurant,true
55a59bace4b013909087cb21,Kaiseki Restaurant,true
55a59bace4b013909087cb06,Kushikatsu Restaurant,true
55a59bace4b013909087cb1b,Monjayaki Restaurant,true
55a59bace4b013909087cb1e,Nabe Restaurant,true
55a59bace4b013909087cb18,Okonomiyaki Restaurant,true
55a59bace4b013909087cb24,Ramen Restaurant,true
55a59bace4b013909087cb15,Shabu-Shabu Restaurant,true
55a59bace4b013909087cb27,Soba Restaurant,true
55a59bace4b013909087cb12,Sukiyaki Restaurant,true
4bf58dd8d48988d1d2941735,Sushi Restaurant,true
55a59bace4b013909087cb2d,Takoyaki Place,true
55a59a31e4b013909087cb00,Tempura Restaurant,true
55a59af1e4b013909087cb03,Tonkatsu Restaurant,true
55a59bace4b013909087cb2a,Udon Restaurant,true
55a59bace4b013909087cb0f,Unagi Restaurant,true
55a59bace4b013909087cb33,Wagashi Place,true
55a59bace4b013909087cb09,Yakitori Restaurant,true
