date,county,category,visitIndex,rank
2020-03-12,Alameda County,Office,78,8
2020-03-12,Alameda County,Gas Stations,90,9
2020-03-12,Alameda County,Fast Food Restaurants,95,10
2020-03-13,Alameda County,Food,89,1
2020-03-13,Alameda County,Shops & Services,98,2
2020-03-13,Alameda County,Grocery,141,3
2020-03-13,Alameda County,Outdoors & Recreation,91,4
2020-03-13,Alameda County,Professional & Other Places,89,5
2020-03-13,Alameda County,School,86,6
2020-03-13,Alameda County,Gas Stations,102,7
2020-03-13,Alameda County,Medical,95,8
2020-03-13,Alameda County,Fast Food Restaurants,97,9
2020-03-13,Alameda County,Office,82,10
2020-03-14,Alameda County,Food,65,1
2020-03-14,Alameda County,Shops & Services,70,2
2020-03-14,Alameda County,Grocery,115,3
2020-03-14,Alameda County,Outdoors & Recreation,55,4
2020-03-14,Alameda County,Professional & Other Places,67,5
2020-03-14,Alameda County,Gas Stations,75,6
2020-03-14,Alameda County,Big Box Stores,98,7
2020-03-14,Alameda County,Fast Food Restaurants,73,8
2020-03-14,Alameda County,Nightlife Spots,53,9
2020-03-14,Alameda County,Fitness Center,72,10
2020-03-15,Alameda County,Food,64,1
2020-03-15,Alameda County,Shops & Services,69,2
2020-03-15,Alameda County,Grocery,109,3
2020-03-15,Alameda County,Outdoors & Recreation,63,4
2020-03-15,Alameda County,Big Box Stores,98,5
2020-03-15,Alameda County,Gas Stations,70,6
2020-03-15,Alameda County,Professional & Other Places,65,7
2020-03-15,Alameda County,Fast Food Restaurants,72,8
2020-03-15,Alameda County,Airport,64,9
2020-03-15,Alameda County,Nightlife Spots,56,10
2020-03-16,Alameda County,Shops & Services,94,1
2020-03-16,Alameda County,Food,78,2
2020-03-16,Alameda County,Grocery,171,3
2020-03-16,Alameda County,Outdoors & Recreation,80,4
2020-03-16,Alameda County,Professional & Other Places,78,5
2020-03-16,Alameda County,Gas Stations,107,6
2020-03-16,Alameda County,Medical,85,7
2020-03-16,Alameda County,Big Box Stores,141,8
2020-03-16,Alameda County,Office,73,9
2020-03-16,Alameda County,Fast Food Restaurants,88,10
2020-03-17,Alameda County,Shops & Services,55,1
2020-03-17,Alameda County,Food,45,2
2020-03-17,Alameda County,Grocery,102,3
2020-03-17,Alameda County,Outdoors & Recreation,67,4
2020-03-17,Alameda County,Professional & Other Places,54,5
2020-03-17,Alameda County,Medical,56,6
2020-03-17,Alameda County,Gas Stations,62,7
2020-03-17,Alameda County,Office,38,8
2020-03-17,Alameda County,Fast Food Restaurants,57,9
2020-03-17,Alameda County,Big Box Stores,90,10
2020-03-18,Alameda County,Shops & Services,52,1
2020-03-18,Alameda County,Food,45,2
2020-03-18,Alameda County,Outdoors & Recreation,67,3
2020-03-18,Alameda County,Grocery,94,4
2020-03-18,Alameda County,Professional & Other Places,51,5
2020-03-18,Alameda County,Medical,52,6
2020-03-18,Alameda County,Gas Stations,58,7
2020-03-18,Alameda County,Big Box Stores,101,8
2020-03-18,Alameda County,Fast Food Restaurants,57,9
2020-03-18,Alameda County,Office,38,10
2020-03-19,Alameda County,Shops & Services,53,1
2020-03-19,Alameda County,Food,39,2
2020-03-19,Alameda County,Outdoors & Recreation,78,3
2020-03-19,Alameda County,Grocery,94,4
2020-03-19,Alameda County,Professional & Other Places,50,5
2020-03-19,Alameda County,Medical,45,6
2020-03-19,Alameda County,Gas Stations,55,7
2020-03-19,Alameda County,Office,36,8
2020-03-19,Alameda County,School,31,9
2020-03-19,Alameda County,Big Box Stores,79,10
2020-03-20,Alameda County,Food,38,1
2020-03-20,Alameda County,Shops & Services,44,2
2020-03-20,Alameda County,Outdoors & Recreation,67,3
2020-03-20,Alameda County,Grocery,87,4
2020-03-20,Alameda County,Professional & Other Places,51,5
2020-03-20,Alameda County,Gas Stations,52,6
2020-03-20,Alameda County,Medical,48,7
2020-03-20,Alameda County,Fast Food Restaurants,47,8
2020-03-20,Alameda County,Big Box Stores,78,9
2020-03-20,Alameda County,School,30,10
2020-03-21,Alameda County,Food,31,1
2020-03-21,Alameda County,Shops & Services,33,2
2020-03-21,Alameda County,Outdoors & Recreation,63,3
2020-03-21,Alameda County,Grocery,75,4
2020-03-21,Alameda County,Big Box Stores,70,5
2020-03-21,Alameda County,Professional & Other Places,37,6
2020-03-21,Alameda County,Gas Stations,44,7
2020-03-21,Alameda County,Fast Food Restaurants,45,8
2020-03-21,Alameda County,Residences,55,9
2020-03-21,Alameda County,School,47,10
2020-03-22,Alameda County,Food,19,1
2020-03-22,Alameda County,Shops & Services,22,2
2020-03-22,Alameda County,Outdoors & Recreation,45,3
2020-03-22,Alameda County,Grocery,44,4
2020-03-22,Alameda County,Big Box Stores,43,5
2020-03-22,Alameda County,Gas Stations,27,6
2020-03-22,Alameda County,Fast Food Restaurants,28,7
2020-03-22,Alameda County,Professional & Other Places,25,7
2020-03-22,Alameda County,Drug Store,44,8
2020-03-22,Alameda County,Residences,29,9
2020-03-22,Alameda County,Hardware Stores,57,10
2020-03-07,Alpine County,Skiing,122,1
2020-03-08,Alpine County,Skiing,146,1
2020-03-01,Amador County,Food,115,1
2020-03-03,Amador County,Food,114,1
2020-03-04,Amador County,Food,128,1
2020-03-05,Amador County,Food,94,1
2020-03-06,Amador County,Food,98,1
2020-03-07,Amador County,Food,84,1
2020-03-07,Amador County,Professional & Other Places,172,2
2020-03-08,Amador County,Food,95,1
2020-03-10,Amador County,Food,105,1
2020-03-11,Amador County,Food,118,1
2020-03-12,Amador County,Food,98,1
2020-03-13,Amador County,Food,104,1
2020-03-14,Amador County,Food,94,1
2020-03-01,Butte County,Food,111,1
2020-03-01,Butte County,Shops & Services,106,2
2020-03-01,Butte County,Grocery,105,3
2020-03-01,Butte County,Outdoors & Recreation,94,4
2020-03-01,Butte County,Fast Food Restaurants,114,5
2020-03-01,Butte County,Gas Stations,121,6
2020-03-01,Butte County,Big Box Stores,120,7
2020-03-01,Butte County,Nightlife Spots,113,8
2020-03-02,Butte County,Shops & Services,116,1
2020-03-02,Butte County,Food,107,2
2020-03-02,Butte County,Grocery,102,3
2020-03-02,Butte County,Medical,114,4
2020-03-02,Butte County,Colleges & Universities,101,5
2020-03-02,Butte County,Outdoors & Recreation,89,6
2020-03-02,Butte County,School,113,7
2020-03-02,Butte County,Fast Food Restaurants,116,8
2020-03-02,Butte County,Gas Stations,105,9
2020-03-02,Butte County,Professional & Other Places,100,10
2020-03-03,Butte County,Food,109,1
2020-03-03,Butte County,Shops & Services,98,2
2020-03-03,Butte County,Colleges & Universities,120,3
2020-03-03,Butte County,Grocery,108,4
2020-03-03,Butte County,Medical,120,5
2020-03-03,Butte County,Outdoors & Recreation,97,6
2020-03-03,Butte County,School,116,7
2020-03-03,Butte County,Professional & Other Places,123,8
2020-03-03,Butte County,Fast Food Restaurants,103,9
2020-03-03,Butte County,Gas Stations,122,10
2020-03-04,Butte County,Shops & Services,98,1
2020-03-04,Butte County,Food,101,2
2020-03-04,Butte County,Colleges & Universities,117,3
2020-03-04,Butte County,Grocery,104,4
2020-03-04,Butte County,Outdoors & Recreation,97,5
2020-03-04,Butte County,School,127,6
2020-03-04,Butte County,Medical,98,7
2020-03-04,Butte County,Fast Food Restaurants,100,8
2020-03-04,Butte County,Professional & Other Places,91,9
2020-03-04,Butte County,Gas Stations,104,10
2020-03-05,Butte County,Shops & Services,111,1
2020-03-05,Butte County,Food,107,2
2020-03-05,Butte County,Colleges & Universities,106,3
2020-03-05,Butte County,Grocery,98,4
2020-03-05,Butte County,Outdoors & Recreation,93,5
2020-03-05,Butte County,School,112,6
2020-03-05,Butte County,Medical,86,7
2020-03-05,Butte County,Fast Food Restaurants,104,8
2020-03-05,Butte County,Professional & Other Places,102,9
2020-03-05,Butte County,Gas Stations,108,10
2020-03-06,Butte County,Food,106,1
2020-03-06,Butte County,Shops & Services,103,2
2020-03-06,Butte County,Grocery,109,3
2020-03-06,Butte County,Outdoors & Recreation,86,4
2020-03-06,Butte County,Colleges & Universities,131,5
2020-03-06,Butte County,Nightlife Spots,134,6
2020-03-06,Butte County,Medical,106,7
2020-03-06,Butte County,School,119,8
2020-03-06,Butte County,Professional & Other Places,103,9
2020-03-06,Butte County,Fast Food Restaurants,84,10
2020-03-07,Butte County,Shops & Services,94,1
2020-03-07,Butte County,Food,96,2
2020-03-07,Butte County,Grocery,95,3
2020-03-07,Butte County,Outdoors & Recreation,63,4
2020-03-07,Butte County,Fast Food Restaurants,102,5
2020-03-07,Butte County,Nightlife Spots,109,6
2020-03-07,Butte County,Big Box Stores,97,7
2020-03-07,Butte County,Gas Stations,89,8
2020-03-07,Butte County,Professional & Other Places,84,9
2020-03-07,Butte County,Arts & Entertainment,98,10
2020-03-08,Butte County,Shops & Services,98,1
2020-03-08,Butte County,Food,93,2
2020-03-08,Butte County,Grocery,99,3
2020-03-08,Butte County,Outdoors & Recreation,78,4
2020-03-08,Butte County,Fast Food Restaurants,97,5
2020-03-08,Butte County,Professional & Other Places,122,6
2020-03-08,Butte County,Big Box Stores,111,7
2020-03-09,Butte County,Shops & Services,96,1
2020-03-09,Butte County,Food,96,2
2020-03-09,Butte County,Outdoors & Recreation,102,3
2020-03-09,Butte County,Grocery,94,4
2020-03-09,Butte County,Colleges & Universities,96,5
2020-03-09,Butte County,Medical,106,6
2020-03-09,Butte County,School,116,7
2020-03-09,Butte County,Fast Food Restaurants,106,8
2020-03-09,Butte County,Professional & Other Places,99,9
2020-03-09,Butte County,Nightlife Spots,122,10
2020-03-10,Butte County,Shops & Services,99,1
2020-03-10,Butte County,Food,95,2
2020-03-10,Butte County,Grocery,102,3
2020-03-10,Butte County,Outdoors & Recreation,90,4
2020-03-10,Butte County,Colleges & Universities,92,5
2020-03-10,Butte County,Medical,103,6
2020-03-10,Butte County,School,103,7
2020-03-10,Butte County,Fast Food Restaurants,109,8
2020-03-10,Butte County,Gas Stations,105,9
2020-03-10,Butte County,Nightlife Spots,100,10
2020-03-11,Butte County,Food,104,1
2020-03-11,Butte County,Shops & Services,100,2
2020-03-11,Butte County,Outdoors & Recreation,107,3
2020-03-11,Butte County,Grocery,99,4
2020-03-11,Butte County,Colleges & Universities,97,5
2020-03-11,Butte County,Medical,103,6
2020-03-11,Butte County,School,110,7
2020-03-11,Butte County,Fast Food Restaurants,100,8
2020-03-11,Butte County,Professional & Other Places,102,8
2020-03-11,Butte County,Nightlife Spots,121,9
2020-03-11,Butte County,Gas Stations,105,10
2020-03-12,Butte County,Shops & Services,99,1
2020-03-12,Butte County,Food,88,2
2020-03-12,Butte County,Grocery,108,3
2020-03-12,Butte County,Outdoors & Recreation,96,4
2020-03-12,Butte County,Medical,103,5
2020-03-12,Butte County,Colleges & Universities,85,6
2020-03-12,Butte County,School,99,7
2020-03-12,Butte County,Professional & Other Places,113,8
2020-03-12,Butte County,Fast Food Restaurants,89,9
2020-03-12,Butte County,Nightlife Spots,102,10
2020-03-13,Butte County,Shops & Services,100,1
2020-03-13,Butte County,Food,98,2
2020-03-13,Butte County,Grocery,123,3
2020-03-13,Butte County,Outdoors & Recreation,97,4
2020-03-13,Butte County,Medical,98,5
2020-03-13,Butte County,Professional & Other Places,103,6
2020-03-13,Butte County,School,102,7
2020-03-13,Butte County,Nightlife Spots,106,8
2020-03-13,Butte County,Fast Food Restaurants,89,9
2020-03-13,Butte County,Gas Stations,99,9
2020-03-13,Butte County,Big Box Stores,113,10
2020-03-14,Butte County,Shops & Services,94,1
2020-03-14,Butte County,Food,87,2
2020-03-14,Butte County,Grocery,121,3
2020-03-14,Butte County,Outdoors & Recreation,69,4
2020-03-14,Butte County,Nightlife Spots,102,5
2020-03-14,Butte County,Big Box Stores,93,6
2020-03-14,Butte County,Fast Food Restaurants,71,7
2020-03-14,Butte County,Gas Stations,89,8
2020-03-15,Butte County,Food,82,1
2020-03-15,Butte County,Shops & Services,83,2
2020-03-15,Butte County,Grocery,105,3
2020-03-15,Butte County,Outdoors & Recreation,73,4
2020-03-15,Butte County,Big Box Stores,111,5
2020-03-16,Butte County,Shops & Services,91,1
2020-03-16,Butte County,Food,91,2
2020-03-16,Butte County,Grocery,129,3
2020-03-16,Butte County,Outdoors & Recreation,88,4
2020-03-16,Butte County,Medical,84,5
2020-03-16,Butte County,Fast Food Restaurants,98,6
2020-03-16,Butte County,Big Box Stores,128,7
2020-03-16,Butte County,Professional & Other Places,91,7
2020-03-16,Butte County,Gas Stations,91,8
2020-03-16,Butte County,Nightlife Spots,109,9
2020-03-17,Butte County,Shops & Services,81,1
2020-03-17,Butte County,Food,71,2
2020-03-17,Butte County,Grocery,112,3
2020-03-17,Butte County,Outdoors & Recreation,69,4
2020-03-17,Butte County,Medical,71,5
2020-03-17,Butte County,Fast Food Restaurants,82,6
2020-03-17,Butte County,Professional & Other Places,84,7
2020-03-17,Butte County,Gas Stations,88,8
2020-03-17,Butte County,Nightlife Spots,82,9
2020-03-17,Butte County,School,54,10
2020-03-18,Butte County,Shops & Services,80,1
2020-03-18,Butte County,Food,65,2
2020-03-18,Butte County,Grocery,114,3
2020-03-18,Butte County,Outdoors & Recreation,81,4
2020-03-18,Butte County,Medical,67,5
2020-03-18,Butte County,Gas Stations,86,6
2020-03-18,Butte County,Nightlife Spots,80,7
2020-03-18,Butte County,Fast Food Restaurants,65,8
2020-03-18,Butte County,Big Box Stores,96,9
2020-03-18,Butte County,Professional & Other Places,64,9
2020-03-19,Butte County,Shops & Services,85,1
2020-03-19,Butte County,Food,65,2
2020-03-19,Butte County,Grocery,128,3
2020-03-19,Butte County,Outdoors & Recreation,101,4
2020-03-19,Butte County,Medical,63,5
2020-03-19,Butte County,Gas Stations,83,6
2020-03-19,Butte County,Nightlife Spots,84,7
2020-03-19,Butte County,School,55,8
2020-03-19,Butte County,Professional & Other Places,69,8
2020-03-19,Butte County,Fast Food Restaurants,58,9
2020-03-20,Butte County,Shops & Services,66,1
2020-03-20,Butte County,Food,53,2
2020-03-20,Butte County,Grocery,97,3
2020-03-20,Butte County,Outdoors & Recreation,73,4
2020-03-20,Butte County,Medical,65,5
2020-03-20,Butte County,Professional & Other Places,77,5
2020-03-20,Butte County,School,66,6
2020-03-20,Butte County,Gas Stations,68,7
2020-03-20,Butte County,Fast Food Restaurants,57,8
2020-03-21,Butte County,Shops & Services,53,1
2020-03-21,Butte County,Food,52,2
2020-03-21,Butte County,Grocery,95,3
2020-03-21,Butte County,Outdoors & Recreation,88,4
2020-03-21,Butte County,Big Box Stores,76,5
2020-03-22,Butte County,Shops & Services,42,1
2020-03-22,Butte County,Food,35,2
2020-03-22,Butte County,Outdoors & Recreation,71,3
2020-03-22,Butte County,Grocery,62,4
2020-03-02,Calaveras County,Shops & Services,116,1
2020-03-04,Calaveras County,Shops & Services,107,1
2020-03-05,Calaveras County,Shops & Services,103,1
2020-03-05,Calaveras County,Food,99,2
2020-03-06,Calaveras County,Food,94,1
2020-03-06,Calaveras County,Outdoors & Recreation,104,2
2020-03-06,Calaveras County,Shops & Services,87,2
2020-03-07,Calaveras County,Shops & Services,81,1
2020-03-09,Calaveras County,Shops & Services,111,1
2020-03-10,Calaveras County,Shops & Services,106,1
2020-03-12,Calaveras County,Shops & Services,97,1
2020-03-13,Calaveras County,Shops & Services,115,1
2020-03-13,Calaveras County,Food,102,2
2020-03-13,Calaveras County,Outdoors & Recreation,99,3
2020-03-14,Calaveras County,Shops & Services,98,1
2020-03-16,Calaveras County,Shops & Services,108,1
2020-03-17,Calaveras County,Shops & Services,97,1
2020-03-19,Calaveras County,Shops & Services,91,1
2020-03-20,Calaveras County,Shops & Services,88,1
2020-03-01,Colusa County,Food,114,1
2020-03-02,Colusa County,Food,96,1
2020-03-03,Colusa County,Food,104,1
2020-03-04,Colusa County,Food,100,1
2020-03-05,Colusa County,Food,92,1
2020-03-06,Colusa County,Food,105,1
2020-03-07,Colusa County,Food,87,1
2020-03-09,Colusa County,Food,96,1
2020-03-10,Colusa County,Food,92,1
2020-03-11,Colusa County,Food,86,1
2020-03-12,Colusa County,Food,109,1
2020-03-13,Colusa County,Food,108,1
2020-03-14,Colusa County,Food,91,1
2020-03-16,Colusa County,Food,116,1
2020-03-17,Colusa County,Food,90,1
2020-03-18,Colusa County,Food,75,1
2020-03-19,Colusa County,Food,89,1
2020-03-01,Contra Costa County,Food,104,1
2020-03-01,Contra Costa County,Shops & Services,110,2
2020-03-01,Contra Costa County,Outdoors & Recreation,99,3
2020-03-01,Contra Costa County,Grocery,105,4
2020-03-01,Contra Costa County,Gas Stations,104,5
2020-03-01,Contra Costa County,Spiritual Center,89,6
2020-03-01,Contra Costa County,Fast Food Restaurants,101,7
2020-03-01,Contra Costa County,School,100,8
2020-03-01,Contra Costa County,Professional & Other Places,102,9
2020-03-01,Contra Costa County,Big Box Stores,104,10
2020-03-02,Contra Costa County,Shops & Services,100,1
2020-03-02,Contra Costa County,Food,99,2
2020-03-02,Contra Costa County,Outdoors & Recreation,95,3
2020-03-02,Contra Costa County,Grocery,106,4
2020-03-02,Contra Costa County,School,118,5
2020-03-02,Contra Costa County,Professional & Other Places,111,6
2020-03-02,Contra Costa County,Medical,109,7
2020-03-02,Contra Costa County,Gas Stations,105,8
2020-03-02,Contra Costa County,Fitness Center,112,9
2020-03-02,Contra Costa County,Fast Food Restaurants,104,10
2020-03-03,Contra Costa County,Food,103,1
2020-03-03,Contra Costa County,Shops & Services,104,2
2020-03-03,Contra Costa County,Outdoors & Recreation,100,3
2020-03-03,Contra Costa County,Grocery,98,4
2020-03-03,Contra Costa County,School,106,5
2020-03-03,Contra Costa County,Professional & Other Places,111,6
2020-03-03,Contra Costa County,Medical,96,7
2020-03-03,Contra Costa County,Gas Stations,110,8
2020-03-03,Contra Costa County,Fast Food Restaurants,105,9
2020-03-03,Contra Costa County,Spiritual Center,183,10
