date,county,category,visitIndex,rank
2020-03-04,Kings County,Grocery,89,10
2020-03-05,Kings County,Food,101,1
2020-03-05,Kings County,Shops & Services,97,2
2020-03-05,Kings County,Professional & Other Places,104,3
2020-03-05,Kings County,Gas Stations,93,4
2020-03-05,Kings County,Outdoors & Recreation,105,5
2020-03-05,Kings County,Fast Food Restaurants,88,6
2020-03-05,Kings County,Arts & Entertainment,89,7
2020-03-05,Kings County,School,87,8
2020-03-05,Kings County,Government,104,9
2020-03-05,Kings County,Medical,108,10
2020-03-06,Kings County,Food,98,1
2020-03-06,Kings County,Shops & Services,100,2
2020-03-06,Kings County,Gas Stations,95,3
2020-03-06,Kings County,Professional & Other Places,82,4
2020-03-06,Kings County,Fast Food Restaurants,91,5
2020-03-06,Kings County,Arts & Entertainment,77,6
2020-03-06,Kings County,Outdoors & Recreation,85,7
2020-03-06,Kings County,School,103,8
2020-03-06,Kings County,Grocery,98,9
2020-03-06,Kings County,Big Box Stores,113,10
2020-03-07,Kings County,Food,96,1
2020-03-07,Kings County,Shops & Services,91,2
2020-03-07,Kings County,Arts & Entertainment,93,3
2020-03-07,Kings County,Gas Stations,107,4
2020-03-07,Kings County,Fast Food Restaurants,93,5
2020-03-07,Kings County,Outdoors & Recreation,90,6
2020-03-07,Kings County,Grocery,87,7
2020-03-07,Kings County,Professional & Other Places,99,8
2020-03-07,Kings County,Big Box Stores,94,9
2020-03-07,Kings County,School,120,10
2020-03-08,Kings County,Food,89,1
2020-03-08,Kings County,Shops & Services,109,2
2020-03-08,Kings County,Arts & Entertainment,95,3
2020-03-08,Kings County,Gas Stations,93,4
2020-03-08,Kings County,Fast Food Restaurants,98,5
2020-03-08,Kings County,Grocery,109,6
2020-03-08,Kings County,Outdoors & Recreation,107,7
2020-03-08,Kings County,Big Box Stores,91,8
2020-03-09,Kings County,Food,107,1
2020-03-09,Kings County,Shops & Services,93,2
2020-03-09,Kings County,Professional & Other Places,127,3
2020-03-09,Kings County,Gas Stations,97,4
2020-03-09,Kings County,Outdoors & Recreation,124,5
2020-03-09,Kings County,School,142,6
2020-03-09,Kings County,Arts & Entertainment,95,7
2020-03-09,Kings County,Fast Food Restaurants,86,8
2020-03-09,Kings County,Grocery,105,9
2020-03-09,Kings County,Medical,112,10
2020-03-10,Kings County,Food,105,1
2020-03-10,Kings County,Shops & Services,102,2
2020-03-10,Kings County,Professional & Other Places,89,3
2020-03-10,Kings County,Gas Stations,99,4
2020-03-10,Kings County,Outdoors & Recreation,99,5
2020-03-10,Kings County,Arts & Entertainment,98,6
2020-03-10,Kings County,School,98,7
2020-03-10,Kings County,Government,111,8
2020-03-10,Kings County,Grocery,99,9
2020-03-10,Kings County,Medical,102,10
2020-03-11,Kings County,Food,105,1
2020-03-11,Kings County,Shops & Services,105,2
2020-03-11,Kings County,Professional & Other Places,101,3
2020-03-11,Kings County,Outdoors & Recreation,115,4
2020-03-11,Kings County,Gas Stations,95,5
2020-03-11,Kings County,Government,125,6
2020-03-11,Kings County,Fast Food Restaurants,95,7
2020-03-11,Kings County,Grocery,96,8
2020-03-11,Kings County,School,89,9
2020-03-11,Kings County,Arts & Entertainment,94,10
2020-03-12,Kings County,Food,96,1
2020-03-12,Kings County,Shops & Services,96,2
2020-03-12,Kings County,Professional & Other Places,96,3
2020-03-12,Kings County,Gas Stations,99,4
2020-03-12,Kings County,Grocery,123,5
2020-03-12,Kings County,Outdoors & Recreation,98,6
2020-03-12,Kings County,Fast Food Restaurants,88,7
2020-03-12,Kings County,School,88,8
2020-03-12,Kings County,Arts & Entertainment,85,9
2020-03-12,Kings County,Government,93,10
2020-03-13,Kings County,Food,111,1
2020-03-13,Kings County,Shops & Services,118,2
2020-03-13,Kings County,Professional & Other Places,102,3
2020-03-13,Kings County,Grocery,168,4
2020-03-13,Kings County,Gas Stations,97,5
2020-03-13,Kings County,Outdoors & Recreation,102,6
2020-03-13,Kings County,Arts & Entertainment,89,7
2020-03-13,Kings County,Fast Food Restaurants,91,8
2020-03-13,Kings County,Big Box Stores,157,9
2020-03-13,Kings County,Government,137,10
2020-03-14,Kings County,Food,87,1
2020-03-14,Kings County,Shops & Services,85,2
2020-03-14,Kings County,Grocery,128,3
2020-03-14,Kings County,Gas Stations,88,4
2020-03-14,Kings County,Arts & Entertainment,59,5
2020-03-14,Kings County,Outdoors & Recreation,85,6
2020-03-14,Kings County,Professional & Other Places,101,7
2020-03-14,Kings County,Fast Food Restaurants,77,8
2020-03-14,Kings County,Big Box Stores,113,9
2020-03-14,Kings County,Discount Stores,149,10
2020-03-15,Kings County,Food,84,1
2020-03-15,Kings County,Shops & Services,84,2
2020-03-15,Kings County,Grocery,119,3
2020-03-15,Kings County,Gas Stations,78,4
2020-03-15,Kings County,Arts & Entertainment,76,5
2020-03-15,Kings County,Outdoors & Recreation,95,6
2020-03-15,Kings County,Big Box Stores,89,7
2020-03-15,Kings County,Fast Food Restaurants,67,7
2020-03-15,Kings County,Professional & Other Places,107,8
2020-03-15,Kings County,Discount Stores,134,9
2020-03-16,Kings County,Food,84,1
2020-03-16,Kings County,Shops & Services,61,2
2020-03-16,Kings County,Professional & Other Places,100,3
2020-03-16,Kings County,Grocery,129,4
2020-03-16,Kings County,Gas Stations,72,5
2020-03-16,Kings County,Government,133,6
2020-03-16,Kings County,Outdoors & Recreation,80,7
2020-03-16,Kings County,Fast Food Restaurants,65,8
2020-03-16,Kings County,Arts & Entertainment,66,9
2020-03-16,Kings County,Medical,91,10
2020-03-17,Kings County,Food,91,1
2020-03-17,Kings County,Shops & Services,97,2
2020-03-17,Kings County,Professional & Other Places,82,3
2020-03-17,Kings County,Gas Stations,91,4
2020-03-17,Kings County,Grocery,106,5
2020-03-17,Kings County,Government,100,6
2020-03-17,Kings County,Outdoors & Recreation,72,7
2020-03-17,Kings County,Arts & Entertainment,69,8
2020-03-17,Kings County,Fast Food Restaurants,75,9
2020-03-17,Kings County,Big Box Stores,118,10
2020-03-18,Kings County,Food,82,1
2020-03-18,Kings County,Shops & Services,89,2
2020-03-18,Kings County,Professional & Other Places,83,3
2020-03-18,Kings County,Gas Stations,94,4
2020-03-18,Kings County,Grocery,110,5
2020-03-18,Kings County,Outdoors & Recreation,82,6
2020-03-18,Kings County,Fast Food Restaurants,74,7
2020-03-18,Kings County,Government,74,8
2020-03-18,Kings County,Big Box Stores,99,9
2020-03-18,Kings County,Arts & Entertainment,67,10
2020-03-19,Kings County,Food,68,1
2020-03-19,Kings County,Shops & Services,79,2
2020-03-19,Kings County,Professional & Other Places,84,3
2020-03-19,Kings County,Grocery,110,4
2020-03-19,Kings County,Gas Stations,77,5
2020-03-19,Kings County,Outdoors & Recreation,66,6
2020-03-19,Kings County,Fast Food Restaurants,61,7
2020-03-19,Kings County,Government,70,8
2020-03-19,Kings County,Discount Stores,97,9
2020-03-20,Kings County,Food,61,1
2020-03-20,Kings County,Shops & Services,60,2
2020-03-20,Kings County,Professional & Other Places,67,3
2020-03-20,Kings County,Gas Stations,73,4
2020-03-20,Kings County,Grocery,112,5
2020-03-20,Kings County,Outdoors & Recreation,65,6
2020-03-20,Kings County,Fast Food Restaurants,60,7
2020-03-20,Kings County,Government,84,8
2020-03-20,Kings County,Big Box Stores,86,9
2020-03-20,Kings County,Discount Stores,101,10
2020-03-21,Kings County,Food,45,1
2020-03-21,Kings County,Shops & Services,48,2
2020-03-21,Kings County,Grocery,80,3
2020-03-21,Kings County,Gas Stations,66,4
2020-03-21,Kings County,Outdoors & Recreation,65,5
2020-03-21,Kings County,Professional & Other Places,69,6
2020-03-21,Kings County,Fast Food Restaurants,53,7
2020-03-22,Kings County,Food,26,1
2020-03-01,Lake County,Food,82,1
2020-03-02,Lake County,Food,92,1
2020-03-03,Lake County,Food,117,1
2020-03-04,Lake County,Food,103,1
2020-03-05,Lake County,Food,107,1
2020-03-05,Lake County,Outdoors & Recreation,130,2
2020-03-06,Lake County,Food,105,1
2020-03-06,Lake County,Outdoors & Recreation,124,2
2020-03-07,Lake County,Food,90,1
2020-03-08,Lake County,Food,78,1
2020-03-09,Lake County,Food,97,1
2020-03-10,Lake County,Food,106,1
2020-03-11,Lake County,Food,106,1
2020-03-12,Lake County,Food,102,1
2020-03-13,Lake County,Food,108,1
2020-03-13,Lake County,Grocery,116,2
2020-03-14,Lake County,Food,84,1
2020-03-15,Lake County,Food,73,1
2020-03-16,Lake County,Food,87,1
2020-03-16,Lake County,Grocery,144,2
2020-03-17,Lake County,Food,77,1
2020-03-18,Lake County,Food,72,1
2020-03-19,Lake County,Food,57,1
2020-03-20,Lake County,Food,61,1
2020-03-01,Los Angeles County,Food,102,1
2020-03-01,Los Angeles County,Shops & Services,104,2
2020-03-01,Los Angeles County,Grocery,98,3
2020-03-01,Los Angeles County,Outdoors & Recreation,90,4
2020-03-01,Los Angeles County,Arts & Entertainment,97,5
2020-03-01,Los Angeles County,Fast Food Restaurants,104,6
2020-03-01,Los Angeles County,Airport,103,7
2020-03-01,Los Angeles County,Professional & Other Places,105,8
2020-03-01,Los Angeles County,Gas Stations,102,9
2020-03-01,Los Angeles County,Spiritual Center,98,10
2020-03-02,Los Angeles County,Food,100,1
2020-03-02,Los Angeles County,Shops & Services,100,2
2020-03-02,Los Angeles County,Grocery,104,3
2020-03-02,Los Angeles County,Outdoors & Recreation,100,4
2020-03-02,Los Angeles County,Professional & Other Places,108,5
2020-03-02,Los Angeles County,School,126,6
2020-03-02,Los Angeles County,Fast Food Restaurants,104,7
2020-03-02,Los Angeles County,Medical,101,8
2020-03-02,Los Angeles County,Colleges & Universities,113,9
2020-03-02,Los Angeles County,Gas Stations,100,10
2020-03-03,Los Angeles County,Food,103,1
2020-03-03,Los Angeles County,Shops & Services,101,2
2020-03-03,Los Angeles County,Outdoors & Recreation,109,3
2020-03-03,Los Angeles County,Professional & Other Places,105,4
2020-03-03,Los Angeles County,Grocery,103,5
2020-03-03,Los Angeles County,School,115,6
2020-03-03,Los Angeles County,Colleges & Universities,102,7
2020-03-03,Los Angeles County,Medical,96,8
2020-03-03,Los Angeles County,Fast Food Restaurants,102,9
2020-03-03,Los Angeles County,Gas Stations,101,10
2020-03-04,Los Angeles County,Food,97,1
2020-03-04,Los Angeles County,Shops & Services,99,2
2020-03-04,Los Angeles County,Grocery,103,3
2020-03-04,Los Angeles County,Outdoors & Recreation,97,4
2020-03-04,Los Angeles County,Professional & Other Places,95,5
2020-03-04,Los Angeles County,School,97,6
2020-03-04,Los Angeles County,Fast Food Restaurants,98,7
2020-03-04,Los Angeles County,Medical,95,8
2020-03-04,Los Angeles County,Colleges & Universities,95,9
2020-03-04,Los Angeles County,Gas Stations,97,10
2020-03-05,Los Angeles County,Food,99,1
2020-03-05,Los Angeles County,Shops & Services,98,2
2020-03-05,Los Angeles County,Outdoors & Recreation,100,3
2020-03-05,Los Angeles County,Grocery,106,4
2020-03-05,Los Angeles County,Professional & Other Places,97,5
2020-03-05,Los Angeles County,School,99,6
2020-03-05,Los Angeles County,Fast Food Restaurants,99,7
2020-03-05,Los Angeles County,Medical,96,8
2020-03-05,Los Angeles County,Colleges & Universities,95,9
2020-03-05,Los Angeles County,Gas Stations,100,10
2020-03-06,Los Angeles County,Food,95,1
2020-03-06,Los Angeles County,Shops & Services,96,2
2020-03-06,Los Angeles County,Outdoors & Recreation,98,3
2020-03-06,Los Angeles County,Grocery,102,4
2020-03-06,Los Angeles County,Professional & Other Places,98,5
2020-03-06,Los Angeles County,Fast Food Restaurants,99,6
2020-03-06,Los Angeles County,School,99,7
2020-03-06,Los Angeles County,Medical,96,8
2020-03-06,Los Angeles County,Arts & Entertainment,91,9
2020-03-06,Los Angeles County,Gas Stations,96,10
2020-03-07,Los Angeles County,Food,95,1
2020-03-07,Los Angeles County,Shops & Services,96,2
2020-03-07,Los Angeles County,Outdoors & Recreation,97,3
2020-03-07,Los Angeles County,Grocery,103,4
2020-03-07,Los Angeles County,Arts & Entertainment,92,5
2020-03-07,Los Angeles County,Fast Food Restaurants,96,6
2020-03-07,Los Angeles County,Professional & Other Places,99,7
2020-03-07,Los Angeles County,Nightlife Spots,94,8
2020-03-07,Los Angeles County,Gas Stations,92,9
2020-03-07,Los Angeles County,School,102,10
2020-03-08,Los Angeles County,Food,100,1
2020-03-08,Los Angeles County,Shops & Services,100,2
2020-03-08,Los Angeles County,Grocery,98,3
2020-03-08,Los Angeles County,Outdoors & Recreation,99,4
2020-03-08,Los Angeles County,Arts & Entertainment,96,5
2020-03-08,Los Angeles County,Fast Food Restaurants,98,6
2020-03-08,Los Angeles County,Professional & Other Places,97,7
2020-03-08,Los Angeles County,Gas Stations,95,8
2020-03-08,Los Angeles County,Airport,90,9
2020-03-08,Los Angeles County,Spiritual Center,91,10
2020-03-09,Los Angeles County,Food,96,1
2020-03-09,Los Angeles County,Shops & Services,97,2
2020-03-09,Los Angeles County,Grocery,107,3
2020-03-09,Los Angeles County,Outdoors & Recreation,98,4
2020-03-09,Los Angeles County,Professional & Other Places,102,5
2020-03-09,Los Angeles County,School,121,6
2020-03-09,Los Angeles County,Medical,99,7
2020-03-09,Los Angeles County,Fast Food Restaurants,99,8
2020-03-09,Los Angeles County,Colleges & Universities,108,9
2020-03-09,Los Angeles County,Gas Stations,96,10
2020-03-10,Los Angeles County,Food,90,1
2020-03-10,Los Angeles County,Shops & Services,91,2
2020-03-10,Los Angeles County,Grocery,104,3
2020-03-10,Los Angeles County,Professional & Other Places,85,4
2020-03-10,Los Angeles County,Outdoors & Recreation,74,5
2020-03-10,Los Angeles County,School,90,6
2020-03-10,Los Angeles County,Medical,88,7
2020-03-10,Los Angeles County,Fast Food Restaurants,89,8
2020-03-10,Los Angeles County,Colleges & Universities,84,9
2020-03-10,Los Angeles County,Gas Stations,85,10
2020-03-11,Los Angeles County,Food,93,1
2020-03-11,Los Angeles County,Shops & Services,98,2
2020-03-11,Los Angeles County,Grocery,113,3
2020-03-11,Los Angeles County,Outdoors & Recreation,97,4
2020-03-11,Los Angeles County,Professional & Other Places,89,5
2020-03-11,Los Angeles County,School,94,6
2020-03-11,Los Angeles County,Medical,93,7
2020-03-11,Los Angeles County,Fast Food Restaurants,94,8
2020-03-11,Los Angeles County,Colleges & Universities,85,9
2020-03-11,Los Angeles County,Gas Stations,93,10
2020-03-12,Los Angeles County,Food,80,1
2020-03-12,Los Angeles County,Shops & Services,84,2
2020-03-12,Los Angeles County,Grocery,127,3
2020-03-12,Los Angeles County,Professional & Other Places,82,4
2020-03-12,Los Angeles County,Outdoors & Recreation,72,5
2020-03-12,Los Angeles County,School,88,6
2020-03-12,Los Angeles County,Fast Food Restaurants,88,7
2020-03-12,Los Angeles County,Medical,84,8
2020-03-12,Los Angeles County,Gas Stations,89,9
2020-03-12,Los Angeles County,Colleges & Universities,67,10
2020-03-13,Los Angeles County,Food,83,1
2020-03-13,Los Angeles County,Shops & Services,92,2
2020-03-13,Los Angeles County,Grocery,163,3
2020-03-13,Los Angeles County,Fast Food Restaurants,96,4
2020-03-13,Los Angeles County,Outdoors & Recreation,70,5
2020-03-13,Los Angeles County,Professional & Other Places,81,6
2020-03-13,Los Angeles County,School,88,7
2020-03-13,Los Angeles County,Medical,88,8
2020-03-13,Los Angeles County,Gas Stations,94,9
2020-03-13,Los Angeles County,Big Box Stores,145,10
2020-03-14,Los Angeles County,Food,74,1
2020-03-14,Los Angeles County,Shops & Services,79,2
2020-03-14,Los Angeles County,Grocery,135,3
2020-03-14,Los Angeles County,Outdoors & Recreation,59,4
2020-03-14,Los Angeles County,Fast Food Restaurants,80,5
2020-03-14,Los Angeles County,Gas Stations,83,6
2020-03-14,Los Angeles County,Professional & Other Places,66,7
2020-03-14,Los Angeles County,Big Box Stores,113,8
2020-03-14,Los Angeles County,Nightlife Spots,65,9
2020-03-14,Los Angeles County,Drug Store,125,10
2020-03-15,Los Angeles County,Food,74,1
2020-03-15,Los Angeles County,Shops & Services,76,2
2020-03-15,Los Angeles County,Grocery,110,3
2020-03-15,Los Angeles County,Outdoors & Recreation,75,4
2020-03-15,Los Angeles County,Fast Food Restaurants,84,5
2020-03-15,Los Angeles County,Gas Stations,83,6
2020-03-15,Los Angeles County,Big Box Stores,101,7
2020-03-15,Los Angeles County,Airport,69,8
2020-03-15,Los Angeles County,Professional & Other Places,68,9
2020-03-15,Los Angeles County,Drug Store,126,10
2020-03-16,Los Angeles County,Food,68,1
2020-03-16,Los Angeles County,Shops & Services,75,2
2020-03-16,Los Angeles County,Grocery,123,3
2020-03-16,Los Angeles County,Outdoors & Recreation,67,4
2020-03-16,Los Angeles County,Professional & Other Places,78,5
2020-03-16,Los Angeles County,Medical,80,6
2020-03-16,Los Angeles County,Fast Food Restaurants,78,7
2020-03-16,Los Angeles County,Gas Stations,83,8
2020-03-16,Los Angeles County,Office,76,9
2020-03-16,Los Angeles County,Big Box Stores,107,10
2020-03-17,Los Angeles County,Food,61,1
2020-03-17,Los Angeles County,Shops & Services,69,2
2020-03-17,Los Angeles County,Grocery,110,3
2020-03-17,Los Angeles County,Outdoors & Recreation,73,4
2020-03-17,Los Angeles County,Professional & Other Places,66,5
2020-03-17,Los Angeles County,Fast Food Restaurants,69,6
2020-03-17,Los Angeles County,Medical,63,7
2020-03-17,Los Angeles County,Gas Stations,73,8
2020-03-17,Los Angeles County,Office,60,9
2020-03-17,Los Angeles County,Big Box Stores,99,10
2020-03-18,Los Angeles County,Food,57,1
2020-03-18,Los Angeles County,Shops & Services,66,2
2020-03-18,Los Angeles County,Grocery,106,3
2020-03-18,Los Angeles County,Outdoors & Recreation,80,4
2020-03-18,Los Angeles County,Professional & Other Places,65,5
2020-03-18,Los Angeles County,Fast Food Restaurants,66,6
2020-03-18,Los Angeles County,Medical,64,7
2020-03-18,Los Angeles County,Gas Stations,71,8
2020-03-18,Los Angeles County,Office,57,9
2020-03-18,Los Angeles County,School,35,10
2020-03-19,Los Angeles County,Food,51,1
2020-03-19,Los Angeles County,Shops & Services,58,2
2020-03-19,Los Angeles County,Grocery,103,3
2020-03-19,Los Angeles County,Outdoors & Recreation,67,4
2020-03-19,Los Angeles County,Professional & Other Places,59,5
2020-03-19,Los Angeles County,Fast Food Restaurants,62,6
2020-03-19,Los Angeles County,Medical,61,7
2020-03-19,Los Angeles County,Gas Stations,67,8
2020-03-19,Los Angeles County,Office,55,9
2020-03-19,Los Angeles County,Big Box Stores,84,10
2020-03-20,Los Angeles County,Food,44,1
2020-03-20,Los Angeles County,Shops & Services,49,2
2020-03-20,Los Angeles County,Grocery,92,3
2020-03-20,Los Angeles County,Outdoors & Recreation,66,4
2020-03-20,Los Angeles County,Professional & Other Places,59,5
2020-03-20,Los Angeles County,Fast Food Restaurants,61,6
2020-03-20,Los Angeles County,Medical,59,7
2020-03-20,Los Angeles County,Gas Stations,64,8
2020-03-20,Los Angeles County,Big Box Stores,91,9
2020-03-20,Los Angeles County,School,34,10
2020-03-21,Los Angeles County,Food,36,1
2020-03-21,Los Angeles County,Shops & Services,34,2
2020-03-21,Los Angeles County,Grocery,75,3
2020-03-21,Los Angeles County,Outdoors & Recreation,63,4
2020-03-21,Los Angeles County,Fast Food Restaurants,51,5
2020-03-21,Los Angeles County,Professional & Other Places,42,6
2020-03-21,Los Angeles County,Gas Stations,50,7
2020-03-21,Los Angeles County,Big Box Stores,69,8
2020-03-21,Los Angeles County,Drug Store,75,9
2020-03-21,Los Angeles County,School,47,10
2020-03-22,Los Angeles County,Food,22,1
2020-03-22,Los Angeles County,Shops & Services,22,2
2020-03-22,Los Angeles County,Grocery,45,3
2020-03-22,Los Angeles County,Outdoors & Recreation,40,4
2020-03-22,Los Angeles County,Fast Food Restaurants,32,5
2020-03-22,Los Angeles County,Big Box Stores,45,6
2020-03-22,Los Angeles County,Gas Stations,31,7
2020-03-22,Los Angeles County,Professional & Other Places,26,8
2020-03-22,Los Angeles County,Drug Store,47,9
2020-03-22,Los Angeles County,Hardware Stores,65,10
2020-03-01,Madera County,Food,101,1
2020-03-01,Madera County,Gas Stations,101,2
2020-03-01,Madera County,Arts & Entertainment,121,3
2020-03-01,Madera County,Outdoors & Recreation,111,4
2020-03-01,Madera County,Shops & Services,104,5
2020-03-01,Madera County,Fast Food Restaurants,108,6
2020-03-01,Madera County,Grocery,88,7
2020-03-01,Madera County,Professional & Other Places,102,8
2020-03-02,Madera County,Food,105,1
2020-03-02,Madera County,Gas Stations,91,2
2020-03-02,Madera County,Shops & Services,103,3
2020-03-02,Madera County,School,135,4
2020-03-02,Madera County,Grocery,112,5
2020-03-02,Madera County,Medical,112,6
2020-03-02,Madera County,Fast Food Restaurants,96,7
2020-03-02,Madera County,Outdoors & Recreation,102,8
2020-03-02,Madera County,Professional & Other Places,100,9
2020-03-03,Madera County,Food,115,1
2020-03-03,Madera County,Gas Stations,99,2
2020-03-03,Madera County,Shops & Services,95,3
2020-03-03,Madera County,School,109,4
2020-03-03,Madera County,Medical,105,5
2020-03-03,Madera County,Grocery,122,6
2020-03-03,Madera County,Professional & Other Places,100,7
2020-03-03,Madera County,Outdoors & Recreation,107,8
2020-03-03,Madera County,Fast Food Restaurants,85,9
2020-03-03,Madera County,Arts & Entertainment,101,10
2020-03-04,Madera County,Food,103,1
2020-03-04,Madera County,Gas Stations,97,2
2020-03-04,Madera County,School,112,3
2020-03-04,Madera County,Shops & Services,91,4
2020-03-04,Madera County,Outdoors & Recreation,107,5
2020-03-04,Madera County,Medical,88,6
2020-03-04,Madera County,Grocery,96,7
2020-03-04,Madera County,Professional & Other Places,87,8
2020-03-04,Madera County,Arts & Entertainment,104,9
2020-03-04,Madera County,Fast Food Restaurants,81,9
2020-03-05,Madera County,Food,115,1
2020-03-05,Madera County,Gas Stations,98,2
2020-03-05,Madera County,Shops & Services,104,3
2020-03-05,Madera County,School,91,4
2020-03-05,Madera County,Fast Food Restaurants,106,5
2020-03-05,Madera County,Outdoors & Recreation,96,6
2020-03-05,Madera County,Medical,87,7
2020-03-05,Madera County,Professional & Other Places,90,8
2020-03-05,Madera County,Grocery,88,9
2020-03-05,Madera County,Arts & Entertainment,96,10
2020-03-06,Madera County,Food,100,1
2020-03-06,Madera County,Gas Stations,100,2
2020-03-06,Madera County,Shops & Services,99,3
2020-03-06,Madera County,School,107,4
2020-03-06,Madera County,Grocery,105,5
2020-03-06,Madera County,Outdoors & Recreation,107,6
2020-03-06,Madera County,Fast Food Restaurants,93,7
2020-03-06,Madera County,Medical,105,8
2020-03-06,Madera County,Professional & Other Places,97,9
2020-03-06,Madera County,Arts & Entertainment,96,10
2020-03-07,Madera County,Food,100,1
2020-03-07,Madera County,Gas Stations,95,2
2020-03-07,Madera County,Shops & Services,87,3
2020-03-07,Madera County,Grocery,96,4
2020-03-07,Madera County,Outdoors & Recreation,94,5
2020-03-07,Madera County,Fast Food Restaurants,106,6
2020-03-07,Madera County,Arts & Entertainment,102,7
2020-03-07,Madera County,School,129,8
2020-03-07,Madera County,Professional & Other Places,85,9
2020-03-08,Madera County,Food,99,1
2020-03-08,Madera County,Gas Stations,102,2
2020-03-08,Madera County,Grocery,102,3
2020-03-08,Madera County,Arts & Entertainment,87,4
2020-03-08,Madera County,Shops & Services,90,5
2020-03-08,Madera County,Outdoors & Recreation,86,6
2020-03-08,Madera County,Fast Food Restaurants,95,7
2020-03-08,Madera County,Professional & Other Places,105,8
2020-03-09,Madera County,Food,106,1
2020-03-09,Madera County,Gas Stations,97,2
2020-03-09,Madera County,Shops & Services,99,3
2020-03-09,Madera County,Medical,112,4
2020-03-09,Madera County,School,108,5
2020-03-09,Madera County,Outdoors & Recreation,108,6
2020-03-09,Madera County,Grocery,92,7
2020-03-09,Madera County,Professional & Other Places,96,8
2020-03-09,Madera County,Fast Food Restaurants,84,9
2020-03-10,Madera County,Food,104,1
2020-03-10,Madera County,Gas Stations,102,2
2020-03-10,Madera County,School,97,3
2020-03-10,Madera County,Shops & Services,73,4
2020-03-10,Madera County,Medical,96,5
2020-03-10,Madera County,Fast Food Restaurants,100,6
2020-03-10,Madera County,Professional & Other Places,103,7
2020-03-10,Madera County,Grocery,110,8
2020-03-10,Madera County,Outdoors & Recreation,102,9
2020-03-10,Madera County,Arts & Entertainment,106,10
2020-03-11,Madera County,Food,98,1
2020-03-11,Madera County,Gas Stations,93,2
2020-03-11,Madera County,School,115,3
2020-03-11,Madera County,Grocery,123,4
2020-03-11,Madera County,Shops & Services,83,5
2020-03-11,Madera County,Medical,96,6
2020-03-11,Madera County,Fast Food Restaurants,94,7
2020-03-11,Madera County,Outdoors & Recreation,98,8
2020-03-11,Madera County,Professional & Other Places,87,9
2020-03-11,Madera County,Arts & Entertainment,80,10
2020-03-12,Madera County,Food,109,1
2020-03-12,Madera County,Gas Stations,88,2
2020-03-12,Madera County,Shops & Services,88,3
2020-03-12,Madera County,Grocery,132,4
2020-03-12,Madera County,School,94,5
2020-03-12,Madera County,Outdoors & Recreation,114,6
2020-03-12,Madera County,Fast Food Restaurants,104,7
2020-03-12,Madera County,Medical,97,8
2020-03-12,Madera County,Professional & Other Places,87,9
2020-03-13,Madera County,Food,104,1
2020-03-13,Madera County,Gas Stations,93,2
2020-03-13,Madera County,Grocery,137,3
2020-03-13,Madera County,Shops & Services,99,4
2020-03-13,Madera County,School,114,5
2020-03-13,Madera County,Outdoors & Recreation,121,6
2020-03-13,Madera County,Fast Food Restaurants,101,7
2020-03-13,Madera County,Medical,105,8
2020-03-13,Madera County,Professional & Other Places,99,9
2020-03-13,Madera County,Arts & Entertainment,104,10
2020-03-14,Madera County,Food,99,1
2020-03-14,Madera County,Gas Stations,93,2
2020-03-14,Madera County,Grocery,148,3
2020-03-14,Madera County,Outdoors & Recreation,104,4
2020-03-14,Madera County,Shops & Services,75,5
2020-03-14,Madera County,Fast Food Restaurants,80,6
2020-03-14,Madera County,Professional & Other Places,90,7
2020-03-14,Madera County,Arts & Entertainment,86,8
2020-03-14,Madera County,Medical,99,9
2020-03-15,Madera County,Food,84,1
2020-03-15,Madera County,Grocery,129,2
2020-03-15,Madera County,Gas Stations,76,3
2020-03-15,Madera County,Outdoors & Recreation,74,4
2020-03-15,Madera County,Shops & Services,75,5
2020-03-15,Madera County,Fast Food Restaurants,77,6
2020-03-15,Madera County,Arts & Entertainment,59,7
2020-03-16,Madera County,Food,94,1
2020-03-16,Madera County,Grocery,146,2
2020-03-16,Madera County,Gas Stations,71,3
2020-03-16,Madera County,Shops & Services,73,4
2020-03-16,Madera County,Medical,91,5
2020-03-16,Madera County,Professional & Other Places,84,6
2020-03-16,Madera County,Outdoors & Recreation,81,7
2020-03-16,Madera County,Fast Food Restaurants,71,8
2020-03-17,Madera County,Food,94,1
2020-03-17,Madera County,Gas Stations,88,2
2020-03-17,Madera County,Grocery,133,3
2020-03-17,Madera County,Outdoors & Recreation,118,4
2020-03-17,Madera County,Shops & Services,71,5
2020-03-17,Madera County,Professional & Other Places,97,6
2020-03-17,Madera County,Medical,83,7
2020-03-17,Madera County,Fast Food Restaurants,79,8
2020-03-18,Madera County,Food,95,1
2020-03-18,Madera County,Gas Stations,81,2
2020-03-18,Madera County,Grocery,141,3
2020-03-18,Madera County,Shops & Services,90,4
2020-03-18,Madera County,Outdoors & Recreation,106,5
2020-03-18,Madera County,Fast Food Restaurants,93,6
2020-03-18,Madera County,Professional & Other Places,96,7
2020-03-18,Madera County,Medical,81,8
2020-03-18,Madera County,School,58,9
2020-03-19,Madera County,Food,78,1
2020-03-19,Madera County,Gas Stations,70,2
2020-03-19,Madera County,Grocery,122,3
2020-03-19,Madera County,Professional & Other Places,93,4
2020-03-19,Madera County,Shops & Services,59,5
2020-03-19,Madera County,Medical,73,6
2020-03-19,Madera County,Outdoors & Recreation,70,7
2020-03-19,Madera County,Fast Food Restaurants,63,8
2020-03-20,Madera County,Food,61,1
