date,county,categoryId,categoryName,visitIndex,rank
2020-03-04,Alameda County,4bf58dd8d48988d1fa931735,Hotels,87,18
2020-03-04,Alameda County,4bf58dd8d48988d132941735,Churches,84,18
2020-03-04,Alameda County,4d954b0ea243a5684a65b473,Convenience Stores,92,19
2020-03-04,Alameda County,4bf58dd8d48988d112951735,Hardware Stores,106,20
2020-03-05,Alameda County,4bf58dd8d48988d1fd941735,Shopping Malls,107,1
2020-03-05,Alameda County,4bf58dd8d48988d118951735,Grocery Stores,103,2
2020-03-05,Alameda County,4bf58dd8d48988d113951735,Gas Stations,103,3
2020-03-05,Alameda County,4bf58dd8d48988d124941735,Offices,96,4
2020-03-05,Alameda County,4bf58dd8d48988d1e0931735,Coffee Shops,108,5
2020-03-05,Alameda County,4bf58dd8d48988d16e941735,Fast Food Restaurants,95,6
2020-03-05,Alameda County,4bf58dd8d48988d163941735,Parks,107,7
2020-03-05,Alameda County,52f2ab2ebcbc57f1066b8b42,Big Box Stores,102,8
2020-03-05,Alameda County,4f4533804b9074f6e4fb0105,Elementary Schools,97,9
2020-03-05,Alameda County,4bf58dd8d48988d1fd931735,Metro Stations,85,10
2020-03-05,Alameda County,4bf58dd8d48988d10f951735,Pharmacies,99,11
2020-03-05,Alameda County,4bf58dd8d48988d1c1941735,Mexican Restaurants,114,12
2020-03-05,Alameda County,4bf58dd8d48988d130941735,Buildings,99,13
2020-03-05,Alameda County,4d954b06a243a5684965b473,Residential Buildings (Apartments / Condos),109,14
2020-03-05,Alameda County,4bf58dd8d48988d175941735,Gyms or Fitness Centers,95,15
2020-03-05,Alameda County,4bf58dd8d48988d124951735,Automotive Shops,102,16
2020-03-05,Alameda County,4bf58dd8d48988d1fa931735,Hotels,105,17
2020-03-05,Alameda County,4bf58dd8d48988d13d941735,High Schools,105,18
2020-03-05,Alameda County,4d954b0ea243a5684a65b473,Convenience Stores,90,19
2020-03-05,Alameda County,4bf58dd8d48988d132941735,Churches,100,19
2020-03-05,Alameda County,4bf58dd8d48988d112951735,Hardware Stores,107,20
2020-03-06,Alameda County,4bf58dd8d48988d118951735,Grocery Stores,101,1
2020-03-06,Alameda County,4bf58dd8d48988d1fd941735,Shopping Malls,95,2
2020-03-06,Alameda County,4bf58dd8d48988d113951735,Gas Stations,100,3
2020-03-06,Alameda County,4bf58dd8d48988d16e941735,Fast Food Restaurants,99,4
2020-03-06,Alameda County,4bf58dd8d48988d1e0931735,Coffee Shops,102,5
2020-03-06,Alameda County,4bf58dd8d48988d163941735,Parks,103,6
2020-03-06,Alameda County,4bf58dd8d48988d124941735,Offices,94,7
2020-03-06,Alameda County,52f2ab2ebcbc57f1066b8b42,Big Box Stores,107,8
2020-03-06,Alameda County,4f4533804b9074f6e4fb0105,Elementary Schools,99,9
2020-03-06,Alameda County,4bf58dd8d48988d1fd931735,Metro Stations,96,10
2020-03-06,Alameda County,4bf58dd8d48988d10f951735,Pharmacies,102,11
2020-03-06,Alameda County,4bf58dd8d48988d1c1941735,Mexican Restaurants,106,12
2020-03-06,Alameda County,4d954b0ea243a5684a65b473,Convenience Stores,109,13
2020-03-06,Alameda County,4d954b06a243a5684965b473,Residential Buildings (Apartments / Condos),93,14
2020-03-06,Alameda County,4bf58dd8d48988d130941735,Buildings,98,15
2020-03-06,Alameda County,4bf58dd8d48988d124951735,Automotive Shops,96,16
2020-03-06,Alameda County,4bf58dd8d48988d175941735,Gyms or Fitness Centers,97,17
2020-03-06,Alameda County,4bf58dd8d48988d10a951735,Banks,99,18
2020-03-06,Alameda County,4bf58dd8d48988d132941735,Churches,105,19
2020-03-06,Alameda County,4bf58dd8d48988d1fa931735,Hotels,84,20
2020-03-07,Alameda County,4bf58dd8d48988d1fd941735,Shopping Malls,98,1
2020-03-07,Alameda County,4bf58dd8d48988d118951735,Grocery Stores,101,2
2020-03-07,Alameda County,4bf58dd8d48988d113951735,Gas Stations,89,3
2020-03-07,Alameda County,4bf58dd8d48988d16e941735,Fast Food Restaurants,91,4
2020-03-07,Alameda County,4bf58dd8d48988d1e0931735,Coffee Shops,94,5
2020-03-07,Alameda County,4bf58dd8d48988d163941735,Parks,90,6
2020-03-07,Alameda County,52f2ab2ebcbc57f1066b8b42,Big Box Stores,106,7
2020-03-07,Alameda County,4bf58dd8d48988d10f951735,Pharmacies,97,8
2020-03-07,Alameda County,4bf58dd8d48988d1c1941735,Mexican Restaurants,96,9
2020-03-07,Alameda County,4d954b06a243a5684965b473,Residential Buildings (Apartments / Condos),95,10
2020-03-07,Alameda County,52f2ab2ebcbc57f1066b8b46,Supermarkets,100,11
2020-03-07,Alameda County,4bf58dd8d48988d112951735,Hardware Stores,96,12
2020-03-07,Alameda County,4bf58dd8d48988d132941735,Churches,88,13
2020-03-07,Alameda County,4bf58dd8d48988d1fa931735,Hotels,95,14
2020-03-07,Alameda County,4bf58dd8d48988d175941735,Gyms or Fitness Centers,97,15
2020-03-07,Alameda County,4bf58dd8d48988d1ca941735,Pizza Places,106,16
2020-03-07,Alameda County,4d954b0ea243a5684a65b473,Convenience Stores,90,17
2020-03-07,Alameda County,52e816a6bcbc57f1066b7a54,Warehouse Stores,89,18
2020-03-07,Alameda County,4bf58dd8d48988d145941735,Chinese Restaurants,81,19
2020-03-07,Alameda County,4bf58dd8d48988d124951735,Automotive Shops,86,20
2020-03-08,Alameda County,4bf58dd8d48988d118951735,Grocery Stores,91,1
2020-03-08,Alameda County,4bf58dd8d48988d1fd941735,Shopping Malls,95,2
2020-03-08,Alameda County,4bf58dd8d48988d113951735,Gas Stations,93,3
2020-03-08,Alameda County,4bf58dd8d48988d163941735,Parks,105,4
2020-03-08,Alameda County,4bf58dd8d48988d16e941735,Fast Food Restaurants,103,5
2020-03-08,Alameda County,4bf58dd8d48988d1e0931735,Coffee Shops,92,6
2020-03-08,Alameda County,52f2ab2ebcbc57f1066b8b42,Big Box Stores,107,7
2020-03-08,Alameda County,4bf58dd8d48988d132941735,Churches,88,8
2020-03-08,Alameda County,4bf58dd8d48988d10f951735,Pharmacies,115,9
2020-03-08,Alameda County,4bf58dd8d48988d1c1941735,Mexican Restaurants,103,10
2020-03-08,Alameda County,52f2ab2ebcbc57f1066b8b46,Supermarkets,102,11
2020-03-08,Alameda County,4d954b06a243a5684965b473,Residential Buildings (Apartments / Condos),96,12
2020-03-08,Alameda County,4bf58dd8d48988d112951735,Hardware Stores,109,13
2020-03-08,Alameda County,4bf58dd8d48988d1ed931735,Airports,92,14
2020-03-08,Alameda County,52e816a6bcbc57f1066b7a54,Warehouse Stores,100,15
2020-03-08,Alameda County,4d954b0ea243a5684a65b473,Convenience Stores,86,16
2020-03-08,Alameda County,4bf58dd8d48988d1fd931735,Metro Stations,89,17
2020-03-08,Alameda County,4bf58dd8d48988d145941735,Chinese Restaurants,83,18
2020-03-08,Alameda County,4bf58dd8d48988d159941735,Trails,96,18
2020-03-08,Alameda County,4bf58dd8d48988d175941735,Gyms or Fitness Centers,90,19
2020-03-08,Alameda County,4bf58dd8d48988d1ca941735,Pizza Places,104,20
2020-03-09,Alameda County,4bf58dd8d48988d118951735,Grocery Stores,112,1
2020-03-09,Alameda County,4bf58dd8d48988d1fd941735,Shopping Malls,98,2
2020-03-09,Alameda County,4bf58dd8d48988d113951735,Gas Stations,99,3
2020-03-09,Alameda County,4bf58dd8d48988d124941735,Offices,107,4
2020-03-09,Alameda County,4bf58dd8d48988d163941735,Parks,109,5
2020-03-09,Alameda County,4bf58dd8d48988d16e941735,Fast Food Restaurants,99,6
2020-03-09,Alameda County,4bf58dd8d48988d1e0931735,Coffee Shops,93,7
2020-03-09,Alameda County,52f2ab2ebcbc57f1066b8b42,Big Box Stores,110,8
2020-03-09,Alameda County,4f4533804b9074f6e4fb0105,Elementary Schools,114,9
2020-03-09,Alameda County,4bf58dd8d48988d10f951735,Pharmacies,97,10
2020-03-09,Alameda County,4bf58dd8d48988d1fd931735,Metro Stations,80,11
2020-03-09,Alameda County,4bf58dd8d48988d175941735,Gyms or Fitness Centers,100,12
2020-03-09,Alameda County,4bf58dd8d48988d124951735,Automotive Shops,105,13
2020-03-09,Alameda County,4d954b06a243a5684965b473,Residential Buildings (Apartments / Condos),106,14
2020-03-09,Alameda County,4bf58dd8d48988d130941735,Buildings,100,15
2020-03-09,Alameda County,4bf58dd8d48988d1c1941735,Mexican Restaurants,103,16
2020-03-09,Alameda County,52f2ab2ebcbc57f1066b8b46,Supermarkets,112,17
2020-03-09,Alameda County,4bf58dd8d48988d177941735,Doctor's Offices,125,18
2020-03-09,Alameda County,4bf58dd8d48988d112951735,Hardware Stores,98,19
2020-03-09,Alameda County,4bf58dd8d48988d1fa931735,Hotels,89,20
2020-03-09,Alameda County,4d954b0ea243a5684a65b473,Convenience Stores,92,20
2020-03-10,Alameda County,4bf58dd8d48988d118951735,Grocery Stores,107,1
2020-03-10,Alameda County,4bf58dd8d48988d1fd941735,Shopping Malls,105,2
2020-03-10,Alameda County,4bf58dd8d48988d113951735,Gas Stations,91,3
2020-03-10,Alameda County,4bf58dd8d48988d163941735,Parks,109,4
2020-03-10,Alameda County,4bf58dd8d48988d124941735,Offices,79,5
2020-03-10,Alameda County,4bf58dd8d48988d16e941735,Fast Food Restaurants,92,6
2020-03-10,Alameda County,4bf58dd8d48988d1e0931735,Coffee Shops,100,6
2020-03-10,Alameda County,52f2ab2ebcbc57f1066b8b42,Big Box Stores,107,7
2020-03-10,Alameda County,4f4533804b9074f6e4fb0105,Elementary Schools,98,8
2020-03-10,Alameda County,4bf58dd8d48988d10f951735,Pharmacies,103,9
2020-03-10,Alameda County,4bf58dd8d48988d1fd931735,Metro Stations,73,10
2020-03-10,Alameda County,4bf58dd8d48988d175941735,Gyms or Fitness Centers,87,11
2020-03-10,Alameda County,4bf58dd8d48988d1c1941735,Mexican Restaurants,103,12
2020-03-10,Alameda County,4d954b06a243a5684965b473,Residential Buildings (Apartments / Condos),95,13
2020-03-10,Alameda County,4bf58dd8d48988d130941735,Buildings,83,14
2020-03-10,Alameda County,4bf58dd8d48988d112951735,Hardware Stores,120,15
2020-03-10,Alameda County,4bf58dd8d48988d13d941735,High Schools,99,16
2020-03-10,Alameda County,4bf58dd8d48988d1fa931735,Hotels,90,17
2020-03-10,Alameda County,4bf58dd8d48988d124951735,Automotive Shops,82,18
2020-03-10,Alameda County,4bf58dd8d48988d132941735,Churches,94,19
2020-03-10,Alameda County,4d954b0ea243a5684a65b473,Convenience Stores,88,20
2020-03-11,Alameda County,4bf58dd8d48988d118951735,Grocery Stores,115,1
2020-03-11,Alameda County,4bf58dd8d48988d1fd941735,Shopping Malls,103,2
2020-03-11,Alameda County,4bf58dd8d48988d113951735,Gas Stations,96,3
2020-03-11,Alameda County,4bf58dd8d48988d163941735,Parks,113,4
2020-03-11,Alameda County,4bf58dd8d48988d16e941735,Fast Food Restaurants,94,5
2020-03-11,Alameda County,4bf58dd8d48988d124941735,Offices,77,6
2020-03-11,Alameda County,4bf58dd8d48988d1e0931735,Coffee Shops,93,7
2020-03-11,Alameda County,52f2ab2ebcbc57f1066b8b42,Big Box Stores,119,8
2020-03-11,Alameda County,4f4533804b9074f6e4fb0105,Elementary Schools,99,9
2020-03-11,Alameda County,4bf58dd8d48988d10f951735,Pharmacies,104,10
2020-03-11,Alameda County,4bf58dd8d48988d1fd931735,Metro Stations,77,11
2020-03-11,Alameda County,4bf58dd8d48988d175941735,Gyms or Fitness Centers,93,12
2020-03-11,Alameda County,4bf58dd8d48988d130941735,Buildings,93,13
2020-03-11,Alameda County,4bf58dd8d48988d1c1941735,Mexican Restaurants,100,14
2020-03-11,Alameda County,4bf58dd8d48988d132941735,Churches,87,15
2020-03-11,Alameda County,4bf58dd8d48988d112951735,Hardware Stores,116,16
2020-03-11,Alameda County,4bf58dd8d48988d124951735,Automotive Shops,86,17
2020-03-11,Alameda County,4d954b06a243a5684965b473,Residential Buildings (Apartments / Condos),93,18
2020-03-11,Alameda County,4d954b0ea243a5684a65b473,Convenience Stores,89,19
2020-03-11,Alameda County,52e816a6bcbc57f1066b7a54,Warehouse Stores,132,20
2020-03-12,Alameda County,4bf58dd8d48988d118951735,Grocery Stores,118,1
2020-03-12,Alameda County,4bf58dd8d48988d1fd941735,Shopping Malls,100,2
2020-03-12,Alameda County,4bf58dd8d48988d113951735,Gas Stations,90,3
2020-03-12,Alameda County,4bf58dd8d48988d16e941735,Fast Food Restaurants,95,4
2020-03-12,Alameda County,4bf58dd8d48988d163941735,Parks,112,5
