2020-03-21,Merced County,Gas Stations,72
2020-03-21,Merced County,Big Box Stores,74
2020-03-21,Merced County,Grocery Stores,63
2020-03-21,Merced County,Fast Food Restaurants,49
2020-03-21,Monterey County,Grocery Stores,73
2020-03-21,Monterey County,Mexican Restaurants,49
2020-03-21,Monterey County,Gas Stations,45
2020-03-21,Monterey County,Fast Food Restaurants,45
2020-03-21,Monterey County,Big Box Stores,58
2020-03-21,Monterey County,Pharmacies,77
2020-03-21,Napa County,Grocery Stores,64
2020-03-21,Nevada County,Grocery Stores,74
2020-03-21,Orange County,Grocery Stores,81
2020-03-21,Orange County,Fast Food Restaurants,51
2020-03-21,Orange County,Parks,73
2020-03-21,Orange County,Big Box Stores,70
2020-03-21,Orange County,Shopping Malls,33
2020-03-21,Orange County,Gas Stations,51
2020-03-21,Orange County,Supermarkets,74
2020-03-21,Orange County,Hardware Stores,85
2020-03-21,Orange County,Coffee Shops,37
2020-03-21,Orange County,Pharmacies,71
2020-03-21,Orange County,Mexican Restaurants,40
2020-03-21,Orange County,Residential Buildings (Apartments / Condos),59
2020-03-21,Orange County,Beaches,94
2020-03-21,Orange County,Warehouse Stores,59
2020-03-21,Orange County,Convenience Stores,54
2020-03-21,Orange County,Trails,94
2020-03-21,Orange County,Automotive Shops,57
2020-03-21,Orange County,Shopping Plazas,31
2020-03-21,Orange County,Elementary Schools,61
2020-03-21,Orange County,Banks,47
2020-03-21,Placer County,Grocery Stores,87
2020-03-21,Placer County,Big Box Stores,67
2020-03-21,Placer County,Fast Food Restaurants,57
2020-03-21,Placer County,Gas Stations,64
2020-03-21,Placer County,Shopping Plazas,47
2020-03-21,Placer County,Parks,64
2020-03-21,Placer County,Hardware Stores,74
2020-03-21,Placer County,Coffee Shops,41
2020-03-21,Riverside County,Grocery Stores,84
2020-03-21,Riverside County,Fast Food Restaurants,51
2020-03-21,Riverside County,Big Box Stores,71
2020-03-21,Riverside County,Gas Stations,56
2020-03-21,Riverside County,Hardware Stores,85
2020-03-21,Riverside County,Parks,53
2020-03-21,Riverside County,Mexican Restaurants,40
2020-03-21,Riverside County,Supermarkets,64
2020-03-21,Riverside County,Convenience Stores,54
2020-03-21,Riverside County,Pharmacies,69
2020-03-21,Riverside County,Coffee Shops,38
2020-03-21,Riverside County,Automotive Shops,58
2020-03-21,Riverside County,Warehouse Stores,58
2020-03-21,Riverside County,Golf Courses,46
2020-03-21,Riverside County,Elementary Schools,60
2020-03-21,Riverside County,Discount Stores,52
2020-03-21,Riverside County,Buildings,59
2020-03-21,Riverside County,Pizza Places,43
2020-03-21,Riverside County,Churches,39
2020-03-21,Riverside County,Banks,46
2020-03-21,Sacramento County,Grocery Stores,84
2020-03-21,Sacramento County,Parks,75
2020-03-21,Sacramento County,Big Box Stores,76
2020-03-21,Sacramento County,Shopping Plazas,44
2020-03-21,Sacramento County,Fast Food Restaurants,49
2020-03-21,Sacramento County,Gas Stations,60
2020-03-21,Sacramento County,Hardware Stores,81
2020-03-21,Sacramento County,Pharmacies,78
2020-03-21,Sacramento County,Coffee Shops,48
2020-03-21,Sacramento County,Convenience Stores,70
2020-03-21,Sacramento County,Supermarkets,63
2020-03-21,Sacramento County,Residential Buildings (Apartments / Condos),72
2020-03-21,Sacramento County,Warehouse Stores,53
2020-03-21,Sacramento County,Elementary Schools,75
2020-03-21,Sacramento County,Automotive Shops,60
2020-03-21,Sacramento County,Mexican Restaurants,40
2020-03-21,Sacramento County,Churches,49
2020-03-21,Sacramento County,Pizza Places,53
2020-03-21,Sacramento County,Banks,61
2020-03-21,Sacramento County,Discount Stores,60
2020-03-21,San Bernardino County,Grocery Stores,87
2020-03-21,San Bernardino County,Fast Food Restaurants,50
2020-03-21,San Bernardino County,Gas Stations,60
2020-03-21,San Bernardino County,Big Box Stores,73
2020-03-21,San Bernardino County,Hardware Stores,83
2020-03-21,San Bernardino County,Convenience Stores,59
2020-03-21,San Bernardino County,Mexican Restaurants,43
2020-03-21,San Bernardino County,Buildings,73
2020-03-21,San Bernardino County,Parks,64
2020-03-21,San Bernardino County,Pharmacies,71
2020-03-21,San Bernardino County,Discount Stores,63
2020-03-21,San Bernardino County,Elementary Schools,60
2020-03-21,San Bernardino County,Automotive Shops,56
2020-03-21,San Bernardino County,Supermarkets,74
2020-03-21,San Bernardino County,Shopping Malls,24
2020-03-21,San Bernardino County,Coffee Shops,42
2020-03-21,San Bernardino County,Warehouse Stores,54
2020-03-21,San Bernardino County,Pizza Places,47
2020-03-21,San Bernardino County,Trails,88
2020-03-21,San Bernardino County,Churches,41
2020-03-21,San Bernardino County,Banks,51
2020-03-21,San Diego County,Grocery Stores,81
2020-03-21,San Diego County,Parks,61
2020-03-21,San Diego County,Big Box Stores,73
2020-03-21,San Diego County,Gas Stations,55
2020-03-21,San Diego County,Fast Food Restaurants,49
2020-03-21,San Diego County,Shopping Plazas,55
2020-03-21,San Diego County,Shopping Malls,30
2020-03-21,San Diego County,Convenience Stores,61
2020-03-21,San Diego County,Pharmacies,73
2020-03-21,San Diego County,Residential Buildings (Apartments / Condos),64
2020-03-21,San Diego County,Hardware Stores,87
2020-03-21,San Diego County,Mexican Restaurants,43
2020-03-21,San Diego County,Coffee Shops,44
2020-03-21,San Diego County,Beaches,69
2020-03-21,San Diego County,Supermarkets,73
2020-03-21,San Diego County,Warehouse Stores,56
2020-03-21,San Diego County,Trails,96
2020-03-21,San Diego County,Hotels,25
2020-03-21,San Diego County,Automotive Shops,57
2020-03-21,San Diego County,Churches,46
2020-03-21,San Diego County,Elementary Schools,71
2020-03-21,San Francisco County,Parks,67
2020-03-21,San Francisco County,Grocery Stores,66
2020-03-21,San Francisco County,Coffee Shops,23
2020-03-21,San Francisco County,Residential Buildings (Apartments / Condos),43
2020-03-21,San Francisco County,National Parks,59
2020-03-21,San Francisco County,Beaches,104
2020-03-21,San Francisco County,Shopping Malls,18
2020-03-21,San Francisco County,Pharmacies,59
2020-03-21,San Francisco County,Trails,93
2020-03-21,San Francisco County,Scenic Lookouts,69
2020-03-21,San Francisco County,Cafￃﾩs,23
2020-03-21,San Francisco County,Buildings,24
2020-03-21,San Francisco County,Hotels,9
2020-03-21,San Francisco County,Offices,26
2020-03-21,San Francisco County,Supermarkets,96
2020-03-21,San Francisco County,Gas Stations,42
2020-03-21,San Francisco County,Bakeries,21
2020-03-21,San Francisco County,Playgrounds,50
2020-03-21,San Joaquin County,Grocery Stores,94
2020-03-21,San Joaquin County,Big Box Stores,72
2020-03-21,San Joaquin County,Fast Food Restaurants,50
2020-03-21,San Joaquin County,Gas Stations,56
2020-03-21,San Joaquin County,Hardware Stores,95
2020-03-21,San Joaquin County,Parks,62
2020-03-21,San Joaquin County,Pharmacies,89
2020-03-21,San Joaquin County,Coffee Shops,48
2020-03-21,San Joaquin County,Mexican Restaurants,45
2020-03-21,San Joaquin County,Convenience Stores,62
2020-03-21,San Joaquin County,Warehouse Stores,66
2020-03-21,San Joaquin County,Pizza Places,54
2020-03-21,San Joaquin County,Supermarkets,67
2020-03-21,San Joaquin County,Elementary Schools,60
2020-03-21,San Joaquin County,Automotive Shops,65
2020-03-21,San Joaquin County,Discount Stores,75
2020-03-21,San Joaquin County,Buildings,68
2020-03-21,San Luis Obispo County,Grocery Stores,60
2020-03-21,San Luis Obispo County,Gas Stations,46
2020-03-21,San Mateo County,Grocery Stores,67
2020-03-21,San Mateo County,Shopping Malls,39
2020-03-21,San Mateo County,Airport Terminals,26
2020-03-21,San Mateo County,Airports,25
2020-03-21,San Mateo County,Trails,147
2020-03-21,San Mateo County,Parks,61
2020-03-21,San Mateo County,Shopping Plazas,54
2020-03-21,San Mateo County,Gas Stations,45
2020-03-21,San Mateo County,Fast Food Restaurants,53
2020-03-21,San Mateo County,Beaches,132
2020-03-21,San Mateo County,Supermarkets,87
2020-03-21,San Mateo County,Big Box Stores,57
2020-03-21,San Mateo County,Warehouse Stores,47
2020-03-21,San Mateo County,Coffee Shops,29
2020-03-21,San Mateo County,State / Provincial Parks,135
2020-03-21,San Mateo County,Pharmacies,59
2020-03-21,San Mateo County,Residential Buildings (Apartments / Condos),51
2020-03-21,San Mateo County,Hardware Stores,61
2020-03-21,San Mateo County,Airport Gates,26
2020-03-21,San Mateo County,Parking,33
2020-03-21,San Mateo County,Offices,49
2020-03-21,Santa Barbara County,Grocery Stores,69
2020-03-21,Santa Barbara County,Parks,67
2020-03-21,Santa Barbara County,Gas Stations,54
2020-03-21,Santa Barbara County,Beaches,61
2020-03-21,Santa Barbara County,Fast Food Restaurants,44
2020-03-21,Santa Clara County,Grocery Stores,64
2020-03-21,Santa Clara County,Parks,60
2020-03-21,Santa Clara County,Shopping Malls,23
2020-03-21,Santa Clara County,Big Box Stores,60
2020-03-21,Santa Clara County,Fast Food Restaurants,44
2020-03-21,Santa Clara County,Gas Stations,40
2020-03-21,Santa Clara County,Residential Buildings (Apartments / Condos),50
2020-03-21,Santa Clara County,Supermarkets,80
2020-03-21,Santa Clara County,Pharmacies,66
2020-03-21,Santa Clara County,Coffee Shops,27
